# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.100000000000000000e+01
3.142222097609314582e-04,6.999953923479004025e+00,2.099458428787161068e+01
6.284443195218629907e-04,6.999815695066524235e+00,2.098889506297017604e+01
9.426664292827944148e-04,6.999585318038077375e+00,2.098293240280949234e+01
1.256888539043725947e-03,6.999262797852761508e+00,2.097669639141417619e+01
1.571110648804657480e-03,6.998848142153093477e+00,2.097018711931743695e+01
1.885332758565588795e-03,6.998341360764801067e+00,2.096340468355884923e+01
2.199554868326520328e-03,6.997742465696540570e+00,2.095634918768193344e+01
2.513776978087451860e-03,6.997051471139556611e+00,2.094902074173149842e+01
2.827999087848383393e-03,6.996268393467286906e+00,2.094141946225080275e+01
3.142221197609314925e-03,6.995393251234899523e+00,2.093354547227856699e+01
3.456443307370246458e-03,6.994426065178765306e+00,2.092539890134581881e+01
3.770665417131177557e-03,6.993366858215877002e+00,2.091697988547247178e+01
4.084887526892108656e-03,6.992215655443199118e+00,2.090828856716384010e+01
4.399109636653040188e-03,6.990972484136965370e+00,2.089932509540679817e+01
4.713331746413971721e-03,6.989637373751905969e+00,2.089008962566597205e+01
5.027553856174903253e-03,6.988210355920413619e+00,2.088058231987959701e+01
5.341775965935834786e-03,6.986691464451658895e+00,2.087080334645519386e+01
5.655998075696766318e-03,6.985080735330626567e+00,2.086075288026519203e+01
5.970220185457697851e-03,6.983378206717112846e+00,2.085043110264216892e+01
6.284442295218629383e-03,6.981583918944639144e+00,2.083983820137411769e+01
6.598664404979560916e-03,6.979697914519315205e+00,2.082897437069939173e+01
6.912886514740492448e-03,6.977720238118648943e+00,2.081783981130149996e+01
7.227108624501423981e-03,6.975650936590273687e+00,2.080643473030372803e+01
7.541330734262354646e-03,6.973490058950637227e+00,2.079475934126363512e+01
7.855552844023287046e-03,6.971237656383613590e+00,2.078281386416723464e+01
8.169774953784217711e-03,6.968893782239060641e+00,2.077059852542312868e+01
8.483997063545150111e-03,6.966458492031320837e+00,2.075811355785636181e+01
8.798219173306080776e-03,6.963931843437645597e+00,2.074535920070220740e+01
9.112441283067013176e-03,6.961313896296572601e+00,2.073233569959960221e+01
9.426663392827943841e-03,6.958604712606247134e+00,2.071904330658458804e+01
9.740885502588876241e-03,6.955804356522657272e+00,2.070548228008344438e+01
1.005510761234980691e-02,6.952912894357841544e+00,2.069165288490569665e+01
1.036932972211073757e-02,6.949930394578005100e+00,2.067755539223691841e+01
1.068355183187166997e-02,6.946856927801598580e+00,2.066319007963136301e+01
1.099777394163260064e-02,6.943692566797322385e+00,2.064855723100443541e+01
1.131199605139353304e-02,6.940437386482072313e+00,2.063365713662498990e+01
1.162621816115446370e-02,6.937091463918836354e+00,2.061849009310733649e+01
1.194044027091539610e-02,6.933654878314513326e+00,2.060305640340323308e+01
1.225466238067632677e-02,6.930127711017681769e+00,2.058735637679362895e+01
1.256888449043725917e-02,6.926510045516308445e+00,2.057139032888019869e+01
1.288310660019818983e-02,6.922801967435393777e+00,2.055515858157671261e+01
1.319732870995912223e-02,6.919003564534556006e+00,2.053866146310026153e+01
1.351155081972005290e-02,6.915114926705558496e+00,2.052189930796229689e+01
1.382577292948098530e-02,6.911136145969778433e+00,2.050487245695943272e+01
1.413999503924191596e-02,6.907067316475607122e+00,2.048758125716415535e+01
1.445421714900284836e-02,6.902908534495803217e+00,2.047002606191535179e+01
1.476843925876377903e-02,6.898659898424771342e+00,2.045220723080851144e+01
1.508266136852470969e-02,6.894321508775794527e+00,2.043412512968599870e+01
1.539688347828564209e-02,6.889893468178200031e+00,2.041578013062694197e+01
1.571110558804657623e-02,6.885375881374464768e+00,2.039717261193708353e+01
1.602532769780750516e-02,6.880768855217268332e+00,2.037830295813832038e+01
1.633954980756843756e-02,6.876072498666473187e+00,2.035917155995820949e+01
1.665377191732936996e-02,6.871286922786066675e+00,2.033977881431916401e+01
1.696799402709030236e-02,6.866412240741015083e+00,2.032012512432767437e+01
1.728221613685123129e-02,6.861448567794092845e+00,2.030021089926307454e+01
1.759643824661216369e-02,6.856396021302619381e+00,2.028003655456639009e+01
1.791066035637309609e-02,6.851254720715165725e+00,2.025960251182883809e+01
1.822488246613402849e-02,6.846024787568176784e+00,2.023890919878031980e+01
1.853910457589495742e-02,6.840706345482558071e+00,2.021795704927752269e+01
1.885332668565588982e-02,6.835299520160184272e+00,2.019674650329210408e+01
1.916754879541682222e-02,6.829804439380365189e+00,2.017527800689843787e+01
1.948177090517775462e-02,6.824221232996245057e+00,2.015355201226146775e+01
1.979599301493868355e-02,6.818550032931141480e+00,2.013156897762412001e+01
2.011021512469961595e-02,6.812790973174832843e+00,2.010932936729473397e+01
2.042443723446054835e-02,6.806944189779784438e+00,2.008683365163426515e+01
2.073865934422147728e-02,6.801009820857314203e+00,2.006408230704329299e+01
2.105288145398240968e-02,6.794988006573712269e+00,2.004107581594888643e+01
2.136710356374334208e-02,6.788878889146277018e+00,2.001781466679125643e+01
2.168132567350427448e-02,6.782682612839330716e+00,1.999429935401035507e+01
2.199554778326520341e-02,6.776399323960142773e+00,1.997053037803215148e+01
2.230976989302613581e-02,6.770029170854817480e+00,1.994650824525487920e+01
2.262399200278706821e-02,6.763572303904115124e+00,1.992223346803496398e+01
2.293821411254800061e-02,6.757028875519219824e+00,1.989770656467298693e+01
2.325243622230892954e-02,6.750399040137449624e+00,1.987292805939926765e+01
2.356665833206986194e-02,6.743682954217908865e+00,1.984789848235943310e+01
2.388088044183079434e-02,6.736880776237082813e+00,1.982261836959974843e+01
2.419510255159172674e-02,6.729992666684380787e+00,1.979708826305233060e+01
2.450932466135265567e-02,6.723018788057616213e+00,1.977130871052009908e+01
2.482354677111358807e-02,6.715959304858439616e+00,1.974528026566172301e+01
2.513776888087452047e-02,6.708814383587703212e+00,1.971900348797627345e+01
2.545199099063544940e-02,6.701584192740778434e+00,1.969247894278768740e+01
2.576621310039638180e-02,6.694268902802816612e+00,1.966570720122926019e+01
2.608043521015731420e-02,6.686868686243953697e+00,1.963868884022773642e+01
2.639465731991824660e-02,6.679383717514453700e+00,1.961142444248739380e+01
2.670887942967917553e-02,6.671814173039810392e+00,1.958391459647394228e+01
2.702310153944010793e-02,6.664160231215772612e+00,1.955615989639819219e+01
2.733732364920104033e-02,6.656422072403338497e+00,1.952816094219965137e+01
2.765154575896197273e-02,6.648599878923676876e+00,1.949991833952992693e+01
2.796576786872290166e-02,6.640693835053004257e+00,1.947143269973591728e+01
2.827998997848383406e-02,6.632704127017398754e+00,1.944270463984291197e+01
2.859421208824476646e-02,6.624630942987569604e+00,1.941373478253755280e+01
2.890843419800569886e-02,6.616474473073558293e+00,1.938452375615051082e+01
2.922265630776662779e-02,6.608234909319408601e+00,1.935507219463916329e+01
2.953687841752756019e-02,6.599912445697749597e+00,1.932538073757002905e+01
2.985110052728849259e-02,6.591507278104362655e+00,1.929545003010100501e+01
3.016532263704942152e-02,6.583019604352661425e+00,1.926528072296355276e+01
3.047954474681035392e-02,6.574449624168137163e+00,1.923487347244468637e+01
3.079376685657128632e-02,6.565797539182753439e+00,1.920422894036872563e+01
3.110798896633221872e-02,6.557063552929267125e+00,1.917334779407907419e+01
3.142221107609315112e-02,6.548247870835523621e+00,1.914223070641961755e+01
3.173643318585408352e-02,6.539350700218677481e+00,1.911087835571617788e+01
3.205065529561500898e-02,6.530372250279368629e+00,1.907929142575766690e+01
3.236487740537594138e-02,6.521312732095847053e+00,1.904747060577718187e+01
3.267909951513687378e-02,6.512172358618054879e+00,1.901541659043285648e+01
3.299332162489780618e-02,6.502951344661628497e+00,1.898313007978871525e+01
3.330754373465873858e-02,6.493649906901874935e+00,1.895061177929517626e+01
3.362176584441967098e-02,6.484268263867694060e+00,1.891786239976955031e+01
3.393598795418060338e-02,6.474806635935430599e+00,1.888488265737636596e+01
3.425021006394153578e-02,6.465265245322700416e+00,1.885167327360748502e+01
3.456443217370246124e-02,6.455644316082142176e+00,1.881823497526214339e+01
3.487865428346339364e-02,6.445944074095130816e+00,1.878456849442680010e+01
3.519287639322432604e-02,6.436164747065449276e+00,1.875067456845486902e+01
3.550709850298525844e-02,6.426306564512881181e+00,1.871655393994626237e+01
3.582132061274619084e-02,6.416369757766783088e+00,1.868220735672682054e+01
3.613554272250712324e-02,6.406354559959588357e+00,1.864763557182764941e+01
3.644976483226805564e-02,6.396261206020272816e+00,1.861283934346415947e+01
3.676398694202898110e-02,6.386089932667757374e+00,1.857781943501509403e+01
3.707820905178991350e-02,6.375840978404272441e+00,1.854257661500143683e+01
3.739243116155084590e-02,6.365514583508668167e+00,1.850711165706503181e+01
3.770665327131177830e-02,6.355110990029682938e+00,1.847142533994720992e+01
3.802087538107271070e-02,6.344630441779142593e+00,1.843551844746716739e+01
3.833509749083364310e-02,6.334073184325135664e+00,1.839939176850029767e+01
3.864931960059457550e-02,6.323439464985128211e+00,1.836304609695626766e+01
3.896354171035550790e-02,6.312729532819029821e+00,1.832648223175712587e+01
3.927776382011643336e-02,6.301943638622208965e+00,1.828970097681503404e+01
3.959198592987736576e-02,6.291082034918473731e+00,1.825270314101014080e+01
3.990620803963829816e-02,6.280144975952990372e+00,1.821548953816802552e+01
4.022043014939923056e-02,6.269132717685157452e+00,1.817806098703729134e+01
4.053465225916016296e-02,6.258045517781440026e+00,1.814041831126680293e+01
4.084887436892109536e-02,6.246883635608153185e+00,1.810256233938288162e+01
4.116309647868202776e-02,6.235647332224190542e+00,1.806449390476637618e+01
4.147731858844295322e-02,6.224336870373720743e+00,1.802621384562957374e+01
4.179154069820388562e-02,6.212952514478824462e+00,1.798772300499295440e+01
4.210576280796481802e-02,6.201494530632097657e+00,1.794902223066191382e+01
4.241998491772575042e-02,6.189963186589197086e+00,1.791011237520320165e+01
4.273420702748668282e-02,6.178358751761344969e+00,1.787099429592136346e+01
4.304842913724761522e-02,6.166681497207793683e+00,1.783166885483500153e+01
4.336265124700854762e-02,6.154931695628234500e+00,1.779213691865285085e+01
4.367687335676948002e-02,6.143109621355173466e+00,1.775239935874988362e+01
4.399109546653040548e-02,6.131215550346249543e+00,1.771245705114305480e+01
4.430531757629133788e-02,6.119249760176519004e+00,1.767231087646717569e+01
4.461953968605227028e-02,6.107212530030692754e+00,1.763196171995043215e+01
4.493376179581320268e-02,6.095104140695324801e+00,1.759141047138994196e+01
4.524798390557413508e-02,6.082924874550962535e+00,1.755065802512712381e+01
4.556220601533506748e-02,6.070675015564250820e+00,1.750970528002291005e+01
4.587642812509599988e-02,6.058354849279995236e+00,1.746855313943287413e+01
4.619065023485692534e-02,6.045964662813180013e+00,1.742720251118227992e+01
4.650487234461785774e-02,6.033504744840938017e+00,1.738565430754088226e+01
4.681909445437879014e-02,6.020975385594494966e+00,1.734390944519780220e+01
4.713331656413972254e-02,6.008376876851050596e+00,1.730196884523599721e+01
4.744753867390065494e-02,5.995709511925630508e+00,1.725983343310690898e+01
4.776176078366158734e-02,5.982973585662893612e+00,1.721750413860485907e+01
4.807598289342251974e-02,5.970169394428897824e+00,1.717498189584128454e+01
4.839020500318345214e-02,5.957297236102823135e+00,1.713226764321886364e+01
4.870442711294437760e-02,5.944357410068652925e+00,1.708936232340567329e+01
4.901864922270531000e-02,5.931350217206818876e+00,1.704626688330902340e+01
4.933287133246624240e-02,5.918275959885801463e+00,1.700298227404936569e+01
4.964709344222717480e-02,5.905134941953690486e+00,1.695950945093386864e+01
4.996131555198810720e-02,5.891927468729708295e+00,1.691584937343013095e+01
5.027553766174903960e-02,5.878653846995686827e+00,1.687200300513961793e+01
5.058975977150997200e-02,5.865314384987514451e+00,1.682797131377096633e+01
5.090398188127089746e-02,5.851909392386536624e+00,1.678375527111335330e+01
5.121820399103182986e-02,5.838439180310917465e+00,1.673935585300956319e+01
5.153242610079276226e-02,5.824904061306968472e+00,1.669477403932902249e+01
5.184664821055369466e-02,5.811304349340430164e+00,1.665001081394074944e+01
5.216087032031462706e-02,5.797640359787726183e+00,1.660506716468619359e+01
5.247509243007555946e-02,5.783912409427167667e+00,1.655994408335189760e+01
5.278931453983649186e-02,5.770120816430129196e+00,1.651464256564213073e+01
