# Time, Target, Prediction
1.822488236780069215e+01,-9.382395614623664434e-03,-9.219778701663017273e-03
2.206362914204674297e+01,2.687760638236327132e-02,2.569709904491901398e-02
5.153242601745943396e+00,-4.917969031104263422e-02,-5.118796229362487793e-02
1.071497394451442986e+01,1.716607361360324895e-03,-1.003628596663475037e-03
1.697846799908233351e+01,3.473127720423541120e-02,3.472010791301727295e-02
2.911791552117965587e+00,-1.584866944055679516e-01,-1.588711887598037720e-01
1.605151277528758413e+01,7.338870097352614627e-03,7.234098389744758606e-03
1.052644067865787214e+01,-1.567531405123044966e-02,-1.858167909085750580e-02
1.578442398199079300e+01,-8.714770102078227970e-03,-8.867023512721061707e-03
1.780591955478611865e+01,1.230118333947636221e-02,1.242950744926929474e-02
2.508539844591436641e+00,-1.929092928888700292e-02,-1.982381753623485565e-02
1.239606223173541544e+01,2.743471676471887985e-02,2.694767899811267853e-02
1.595724614235930439e+01,1.919119832807849972e-03,1.798557117581367493e-03
5.074687074305710865e+00,-6.507703129180460178e-02,-6.705838441848754883e-02
2.309008803393244946e+01,8.529729783066420518e-03,7.127175107598304749e-03
2.457740602013419462e+01,-4.101971252268687973e-02,-4.127173870801925659e-02
1.227037338783104126e+01,3.432394793354646978e-02,3.368660062551498413e-02
2.327338426462632626e+01,1.309954904525953380e-03,-5.084834992885589600e-05
1.794731950417853739e+01,5.328887407084386199e-03,5.479233339428901672e-03
2.213694763432429014e+01,2.727254640953717668e-02,2.605210430920124054e-02
5.483175816994921625e+00,1.206574966418895098e-02,1.009231992065906525e-02
2.262399190445373520e+01,2.269664026013967426e-02,2.128309197723865509e-02
1.818298608649923764e+01,-7.123273091980003753e-03,-6.958974525332450867e-03
7.939345308292868886e+00,-4.511117259197686136e-02,-4.456710815429687500e-02
2.533677611872310820e+01,-3.556584780902508069e-02,-3.445909917354583740e-02
1.759643814827883190e+01,2.140501573450188239e-02,2.149291522800922394e-02
1.810443055905900422e+01,-2.904830116678270950e-03,-2.741230651736259460e-03
2.363473969085139714e+01,-1.374804010149011622e-02,-1.498806290328502655e-02
2.144565899285024102e+01,1.265429542033150515e-02,1.168246008455753326e-02
1.154242550021821678e+01,4.805207186351749538e-02,4.645258188247680664e-02
1.041646294024154606e+01,-2.636623378656187053e-02,-2.933277748525142670e-02
2.068105185909864119e+01,-2.206500143023233315e-02,-2.295224927365779877e-02
2.407988767967938415e+01,-3.027550988145264257e-02,-3.122845478355884552e-02
1.131199596806020002e+00,6.738452337603679787e-01,6.727287173271179199e-01
2.547293903295284778e+01,-3.200341525064934189e-02,-3.076350502669811249e-02
1.466369845717680320e+01,-7.025736647624816755e-02,-7.046473771333694458e-02
2.208457728269747022e+01,2.702014991309096767e-02,2.582820691168308258e-02
1.870145256760477182e+01,-3.364368363301202536e-02,-3.361256420612335205e-02
2.046633341742867174e+01,-3.194326150820570726e-02,-3.271624445915222168e-02
2.477117632115343326e+01,-4.219180526960016053e-02,-4.206857830286026001e-02
1.134865519919897636e+01,4.283880769201819927e-02,4.099619388580322266e-02
1.163145509798381383e+01,4.914814802339684263e-02,4.765938967466354370e-02
6.137805212330195381e+00,8.677929478490305215e-02,8.567529171705245972e-02
2.454598380915809841e+01,-4.066073561979952761e-02,-4.096993058919906616e-02
7.478486213976836439e+00,1.304813993421745193e-02,1.376973278820514679e-02
1.109727751139023155e+01,3.053697452863202502e-02,2.835204638540744781e-02
1.022792967438498835e+01,-4.503313565168604732e-02,-4.800768941640853882e-02
1.538640930962694675e+01,-3.447779264664106030e-02,-3.470023721456527710e-02
2.522679838030678212e+01,-3.794508671000269839e-02,-3.698299825191497803e-02
