# Time, Target, Prediction
1.822488236731958011e+01,1.805088842032140720e-02,1.847944036126136780e-02
2.206362914179779011e+01,3.616626332559714357e-02,3.621673956513404846e-02
5.153242600474271740e+00,5.233890395357093661e-02,5.197086185216903687e-02
1.071497394357912825e+01,3.354804220945827725e-02,3.330037370324134827e-02
1.697846799852583644e+01,5.322533123240996006e-02,5.326523259282112122e-02
2.911791550710733922e+00,1.221960570862199308e-01,1.220880150794982910e-01
1.605151277467502524e+01,1.863843159800156538e-02,1.843835040926933289e-02
1.052644067771116632e+01,1.717936352152134305e-02,1.686622574925422668e-02
1.578442398136208169e+01,2.579364587733864404e-03,2.386990934610366821e-03
1.780591955427966866e+01,3.846432349594806899e-02,3.880863264203071594e-02
2.508539843159816929e+00,2.825253619229736723e-01,2.823949158191680908e-01
1.239606223090178183e+01,7.401096630816386690e-02,7.436460256576538086e-02
1.595724614174104872e+01,1.307841725746630539e-02,1.286588981747627258e-02
5.074687073029288342e+00,3.927808592246222197e-02,3.890554606914520264e-02
2.309008803374558028e+01,2.591956325301109781e-02,2.627604082226753235e-02
2.457740602003727304e+01,-2.812078506857702137e-02,-2.792380377650260925e-02
1.227037338698980840e+01,7.974745472667443824e-02,8.001062273979187012e-02
2.327338426445054154e+01,1.939393576677738568e-02,1.982030645012855530e-02
1.794731950368063522e+01,3.218621713159718067e-02,3.258669748902320862e-02
2.213694763407977462e+01,3.721630083715125881e-02,3.726615384221076965e-02
5.483175815743204673e+00,1.057311217733579584e-01,1.053850054740905762e-01
2.262399190423867523e+01,3.698001430130261336e-02,3.711486235260963440e-02
1.818298608601558897e+01,2.029312944622559123e-02,2.072485163807868958e-02
7.939345307189697998e+00,5.903491354187108409e-02,5.926084145903587341e-02
2.533677611867211610e+01,-2.979638288829521489e-02,-2.956103906035423279e-02
1.759643814775970938e+01,4.610581107236851744e-02,4.633738473057746887e-02
1.810443055857060202e+01,2.441187081214223759e-02,2.484240010380744934e-02
2.363473969069746516e+01,4.629095583396965891e-03,5.075577646493911743e-03
2.144565899256391717e+01,1.758900099262816763e-02,1.759113743901252747e-02
1.154242549933295692e+01,8.467653710518215082e-02,8.446463942527770996e-02
1.041646293928818956e+01,7.539120026745875329e-03,7.197562605142593384e-03
2.068105185876607166e+01,-1.698135752625000786e-02,-1.715054735541343689e-02
2.407988767955237464e+01,-1.351942734684737253e-02,-1.322762295603752136e-02
1.131199595291100479e+00,8.863408459912308635e-01,8.862287998199462891e-01
2.547293903291008732e+01,-2.731869878835297902e-02,-2.714624628424644470e-02
1.466369845648031323e+01,-4.605178631362254887e-02,-4.603468999266624451e-02
2.208457728244978568e+01,3.649459126075302318e-02,3.654480352997779846e-02
1.870145256715248294e+01,-7.787401693869938288e-03,-7.492344826459884644e-03
2.046633341708311704e+01,-2.547811821629327247e-02,-2.559528872370719910e-02
2.477117632106823208e+01,-3.112759114861196261e-02,-3.090479597449302673e-02
1.134865519830199609e+01,7.733754215631682971e-02,7.712779939174652100e-02
1.163145509710393810e+01,8.685490886983897318e-02,8.665964007377624512e-02
6.137805211118069870e+00,1.804831552469192968e-01,1.802659630775451660e-01
2.454598380905927613e+01,-2.747528821178047212e-02,-2.727985009551048279e-02
7.478486212845793624e+00,1.213946581515374934e-01,1.216313838958740234e-01
1.109727751047804922e+01,6.302031176211908559e-02,6.283548474311828613e-02
1.022792967342022763e+01,-8.529362658046225551e-03,-8.877027779817581177e-03
1.538640930897416403e+01,-2.085370608745655552e-02,-2.095369622111320496e-02
2.522679838024913934e+01,-3.122177628067339394e-02,-3.095869347453117371e-02
2.436792461351731731e+01,-2.304874860190190070e-02,-2.284179255366325378e-02
2.160277004745388396e+01,2.372355739009829323e-02,2.375916019082069397e-02
1.051596660738516853e+01,1.625956020654463832e-02,1.594317331910133362e-02
2.352476195227448841e+01,9.272995243089492134e-03,9.731892496347427368e-03
1.758072704227071270e+01,4.658646493548870837e-02,4.680922999978065491e-02
1.054215178320016300e+01,1.855857432102241827e-02,1.825049147009849548e-02
4.844257525857336155e+00,2.154547274117240337e-03,1.797318458557128906e-03
2.238308828674072615e+01,3.866713838795518554e-02,3.873549774289131165e-02
2.599664254920998019e+01,-1.197857839067496648e-02,-1.213314756751060486e-02
8.693478370661543053e+00,-2.731363078447159726e-02,-2.714487537741661072e-02
1.259506956709573977e+01,6.262064012559712123e-02,6.305402517318725586e-02
1.929323754057136142e+01,-3.230911461500596271e-02,-3.207076713442802429e-02
1.164716620259293656e+01,8.715870739001661816e-02,8.696794509887695312e-02
2.446219124645129739e+01,-2.555040916827073724e-02,-2.535381540656089783e-02
2.317388059635356257e+01,2.305294775567612309e-02,2.344514802098274231e-02
2.472928003976424094e+01,-3.062326412476780446e-02,-3.040799126029014587e-02
1.841341563318754027e+01,7.741101960821970829e-03,8.130345493555068970e-03
2.487591702507821356e+00,2.917757253576349075e-01,2.916419506072998047e-01
1.895806729088942877e+00,5.704995943637336531e-01,5.703534483909606934e-01
6.326338476986030912e+00,1.897180586933408519e-01,1.895792186260223389e-01
2.460882823101526640e+01,-2.872336562460840043e-02,-2.852409705519676208e-02
6.745301290025944141e+00,1.877261089859933174e-01,1.876958012580871582e-01
2.105288135608899935e+00,4.699990557303286298e-01,4.698400795459747314e-01
2.188033291109282885e+01,3.236056097664954945e-02,3.241458907723426819e-02
7.881737920396711061e+00,6.694365710798873270e-02,6.716832518577575684e-02
2.117857019925097006e+01,5.801298771855339063e-03,5.718264728784561157e-03
2.325767315896154130e+01,1.998809791849943951e-02,2.040985599160194397e-02
2.075960738621105861e+01,-1.356575563206615861e-02,-1.373882219195365906e-02
1.824059347280857679e+01,1.720344914606134618e-02,1.763034984469413757e-02
2.607519807665496359e+01,-9.138600346115688389e-03,-9.289454668760299683e-03
2.227834758348074473e+01,3.844453550627176253e-02,3.849994018673896790e-02
9.232892992450432601e+00,-5.203691230834223830e-02,-5.200571194291114807e-02
9.107204148538457389e+00,-4.966363317810453676e-02,-4.962852969765663147e-02
9.164811536081446386e-01,9.443359855510707890e-01,9.442273378372192383e-01
1.348012850964255627e+01,-3.746423710185452140e-03,-3.521818667650222778e-03
5.603627625242179056e-01,9.963160799483339325e-01,9.962395429611206055e-01
2.169703668038786759e+01,2.700590101914825472e-02,2.705307677388191223e-02
3.859694915213538469e+00,-6.808087444693888823e-02,-6.822673976421356201e-02
2.397514697629239677e+01,-9.499272514640262274e-03,-9.164985269308090210e-03
1.564302403196111158e+01,-6.036498534191493508e-03,-6.187882274389266968e-03
1.143244776090998016e+01,8.093596722204260407e-02,8.072033524513244629e-02
1.942940045555933137e+00,5.479853787795592179e-01,5.478373169898986816e-01
1.969648924812227619e+01,-3.890924060563127895e-02,-3.868561610579490662e-02
1.224418821117481393e+01,8.078292202524442467e-02,8.102434873580932617e-02
6.897175309752913819e+00,1.797002802189819337e-01,1.797134876251220703e-01
3.047954464948705589e+00,7.740361756198689547e-02,7.729211449623107910e-02
2.164990336392087400e+01,2.540586560136749369e-02,2.544807270169258118e-02
2.423176169927934254e+01,-1.886494159522848768e-02,-1.862640306353569031e-02
1.481557247620728290e+01,-4.360905663057530052e-02,-4.367471858859062195e-02
8.080745256590669001e+00,3.997909790540532526e-02,4.022105410695075989e-02
1.874858588436947304e+00,5.804650696247728447e-01,5.803192257881164551e-01
9.086256007886461816e+00,-4.906573463384734934e-02,-4.902900382876396179e-02
1.393051353441046691e+00,7.935275606388209058e-01,7.933716177940368652e-01
8.117404502731663030e+00,3.516396600111731940e-02,3.541223332285881042e-02
2.367663597200145631e+01,2.851183366811651989e-03,3.289062529802322388e-03
9.751359473587324800e+00,-4.112570469760229441e-02,-4.124046489596366882e-02
9.814203895543313294e+00,-3.781319946800291293e-02,-3.796699270606040955e-02
1.344346926350156401e+01,-1.057058381463929497e-03,-8.334890007972717285e-04
1.979599291696925611e+00,5.304084988347159690e-01,5.302582383155822754e-01
1.493078724979325855e+01,-4.061191320821842116e-02,-4.071341082453727722e-02
2.324719908863554707e+01,2.038096894643076987e-02,2.079934254288673401e-02
2.340954717943851460e+00,3.583675858869124764e-01,3.582131266593933105e-01
1.239082519573878294e+01,7.427421509814387257e-02,7.462458312511444092e-02
2.402228029275938681e+01,-1.133719257292720856e-02,-1.102217659354209900e-02
2.201125879016780118e+01,3.524782008423241880e-02,3.529945388436317444e-02
5.257983303734250491e+00,6.972367741713686451e-02,6.936413049697875977e-02
1.714081608857880212e+01,5.383791372654760793e-02,5.388977006077766418e-02
8.672530230009547481e+00,-2.561438587500002029e-02,-2.543521299958229065e-02
1.551209815288613925e+01,-1.379540545155485270e-02,-1.391200348734855652e-02
2.193794029788581668e+01,3.373270250815132987e-02,3.378606215119361877e-02
2.094814065207901876e+01,-4.959537117158483409e-03,-5.110424011945724487e-03
8.971041234300487943e+00,-4.474284082412387231e-02,-4.468759521842002869e-02
2.377613964084843712e+00,3.414475944573615029e-01,3.412975370883941650e-01
9.065307867234468020e+00,-4.840988057407805134e-02,-4.837105795741081238e-02
1.848149709030652588e+01,3.997312620137303749e-03,4.365269094705581665e-03
1.992168176013123215e+01,-3.834693013858994637e-02,-3.819515928626060486e-02
1.960745965035129501e+01,-3.828477021649815543e-02,-3.804726526141166687e-02
1.707273463145981651e+01,5.380433373195095403e-02,5.384855344891548157e-02
2.215789577473177019e+01,3.746496130140191533e-02,3.751498833298683167e-02
1.871192663747848073e+01,-8.327811521711357343e-03,-8.035998791456222534e-03
3.189354414349676592e+00,3.675050438597695507e-02,3.664468601346015930e-02
7.331849228281823727e+00,1.393397802407169983e-01,1.395418792963027954e-01
2.520585023959714377e+01,-3.143199705693063006e-02,-3.116602823138237000e-02
2.534725018974811395e+00,2.710678815353821935e-01,2.709414660930633545e-01
7.797945357788726994e+00,7.850156110050392211e-02,7.872949540615081787e-02
3.393598785706634757e+00,-1.075463587248954092e-02,-1.084169372916221619e-02
2.217360688022076687e+01,3.763633143245698892e-02,3.768659010529518127e-02
8.693478371411543781e-01,9.545428083416553910e-01,9.544349312782287598e-01
1.797874171465863213e+01,3.069062971660052597e-02,3.110009804368019104e-02
1.662234960744191170e+01,4.559406687322450913e-02,4.561269655823707581e-02
2.284918441624762764e+01,3.279298847085764662e-02,3.302969411015510559e-02
1.633954970863996792e+01,3.405211024663552105e-02,3.396771475672721863e-02
2.392277662466240784e+01,-7.409131470140171809e-03,-7.053431123495101929e-03
1.350631368545755073e+01,-5.638537222812477559e-03,-5.412127822637557983e-03
1.165240323775593545e+01,8.725455672418948316e-02,8.706538379192352295e-02
2.462977637166726197e+01,-2.910087815231806804e-02,-2.889957651495933533e-02
2.404322843341138238e+01,-1.213935352595963031e-02,-1.183278486132621765e-02
1.309258790833063735e+00,8.255333712822306991e-01,8.253910541534423828e-01
