# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,2.800000000000000000e+01
6.284442295598705562e-03,6.999953923506860853e+00,2.794709279005513380e+01
1.256888449119741152e-02,6.999815695122223680e+00,2.789395003394678341e+01
1.885332668679612009e-02,6.999585318121607891e+00,2.784057210477458355e+01
2.513776888239482518e-02,6.999262797964107996e+00,2.778695938343578220e+01
3.142221107799353375e-02,6.998848142292245278e+00,2.773311225861044349e+01
3.770665327359223884e-02,6.998341360931742194e+00,2.767903112674666488e+01
4.399109546919094393e-02,6.997742465891256813e+00,2.762471639204533602e+01
5.027553766478964903e-02,6.997051471362031094e+00,2.757016846644484787e+01
5.655997986038835412e-02,6.996268393717505418e+00,2.751538776960556021e+01
6.284442205598705922e-02,6.995393251512843413e+00,2.746037472889400632e+01
6.912886425158576431e-02,6.994426065484416810e+00,2.740512977936693062e+01
7.541330644718446941e-02,6.993366858549217469e+00,2.734965336375522682e+01
8.169774864278317450e-02,6.992215655804209007e+00,2.729394593244738587e+01
8.798219083838187959e-02,6.990972484525627806e+00,2.723800794347305043e+01
9.426663303398058469e-02,6.989637374168196970e+00,2.718183986248617501e+01
1.005510752295792898e-01,6.988210356364314535e+00,2.712544216274805464e+01
1.068355174251779949e-01,6.986691464923146633e+00,2.706881532511008004e+01
1.131199596207767000e-01,6.985080735829680698e+00,2.701195983799643230e+01
1.194044018163754051e-01,6.983378207243709390e+00,2.695487619738636553e+01
1.256888440119741379e-01,6.981583919498754121e+00,2.689756490679642553e+01
1.319732862075728430e-01,6.979697915100925520e+00,2.684002647726253343e+01
1.382577284031715481e-01,6.977720238727727953e+00,2.678226142732162174e+01
1.445421705987702532e-01,6.975650937226797410e+00,2.672427028299333784e+01
1.508266127943689583e-01,6.973490059614578129e+00,2.666605357776138874e+01
1.571110549899676634e-01,6.971237657074946803e+00,2.660761185255464056e+01
1.633954971855663685e-01,6.968893782957758631e+00,2.654894565572828213e+01
1.696799393811650736e-01,6.966458492777354294e+00,2.649005554304438803e+01
1.759643815767637787e-01,6.963931844210985211e+00,2.643094207765269843e+01
1.822488237723624838e-01,6.961313897097190839e+00,2.637160583007085890e+01
1.885332659679611889e-01,6.958604713434112909e+00,2.631204737816462824e+01
1.948177081635598940e-01,6.955804357377740388e+00,2.625226730712799394e+01
2.011021503591585990e-01,6.952912895240110913e+00,2.619226620946275474e+01
2.073865925547573041e-01,6.949930395487427859e+00,2.613204468495828081e+01
2.136710347503560092e-01,6.946856928738141868e+00,2.607160334067083696e+01
2.199554769459547143e-01,6.943692567760954226e+00,2.601094279090279571e+01
2.262399191415534194e-01,6.940437387472758957e+00,2.595006365718163366e+01
2.325243613371521245e-01,6.937091464936543161e+00,2.588896656823875730e+01
2.388088035327508296e-01,6.933654879359204770e+00,2.582765215998816188e+01
2.450932457283495347e-01,6.930127712089322323e+00,2.576612107550473851e+01
2.513776879239482676e-01,6.926510046614862581e+00,2.570437396500265237e+01
2.576621301195469727e-01,6.922801968560824193e+00,2.564241148581326257e+01
2.639465723151456777e-01,6.919003565686824508e+00,2.558023430236307050e+01
2.702310145107443828e-01,6.915114927884627782e+00,2.551784308615129504e+01
2.765154567063430879e-01,6.911136147175608535e+00,2.545523851572741592e+01
2.827998989019417930e-01,6.907067317708159848e+00,2.539242127666835813e+01
2.890843410975404981e-01,6.902908535755036823e+00,2.532939206155571199e+01
2.953687832931392032e-01,6.898659899710646748e+00,2.526615156995254807e+01
3.016532254887379083e-01,6.894321510088269100e+00,2.520270050838011144e+01
3.079376676843366134e-01,6.889893469517232916e+00,2.513903959029445190e+01
3.142221098799353185e-01,6.885375882740015108e+00,2.507516953606265631e+01
3.205065520755340236e-01,6.880768856609289941e+00,2.501109107293908451e+01
3.267909942711327287e-01,6.876072500084924322e+00,2.494680493504132812e+01
3.330754364667314338e-01,6.871286924230901150e+00,2.488231186332596678e+01
3.393598786623301389e-01,6.866412242212190264e+00,2.481761260556417170e+01
3.456443208579288440e-01,6.861448569291562549e+00,2.475270791631720968e+01
3.519287630535275491e-01,6.856396022826336534e+00,2.468759855691156702e+01
3.582132052491262542e-01,6.851254722265084141e+00,2.462228529541410182e+01
3.644976474447249593e-01,6.846024789144247613e+00,2.455676890660688372e+01
3.707820896403236643e-01,6.840706347084735128e+00,2.449105017196189849e+01
3.770665318359223694e-01,6.835299521788418708e+00,2.442512987961557513e+01
3.833509740315210745e-01,6.829804441034608153e+00,2.435900882434309267e+01
3.896354162271197796e-01,6.824221234676445036e+00,2.429268780753261936e+01
3.959198584227184847e-01,6.818550034637249624e+00,2.422616763715921806e+01
4.022043006183171898e-01,6.812790974906797636e+00,2.415944912775870890e+01
4.084887428139158949e-01,6.806944191537555255e+00,2.409253310040130813e+01
4.147731850095146000e-01,6.801009822640839531e+00,2.402542038266503255e+01
4.210576272051133051e-01,6.794988008382936151e+00,2.395811180860908962e+01
4.273420694007120102e-01,6.788878890981149716e+00,2.389060821874686624e+01
4.336265115963107153e-01,6.782682614699797163e+00,2.382291046001895651e+01
4.399109537919094204e-01,6.776399325846147903e+00,2.375501938576595151e+01
4.461953959875081255e-01,6.770029172766307113e+00,2.368693585570093418e+01
4.524798381831068306e-01,6.763572305841032417e+00,2.361866073588202752e+01
4.587642803787055357e-01,6.757028877481509710e+00,2.355019489868456262e+01
4.650487225743042408e-01,6.750399042125055260e+00,2.348153922277325378e+01
4.713331647699029459e-01,6.743682956230772518e+00,2.341269459307402201e+01
4.776176069655016510e-01,6.736880778275146753e+00,2.334366190074588587e+01
4.839020491611003560e-01,6.729992668747586393e+00,2.327444204315241194e+01
4.901864913566990611e-01,6.723018790145905754e+00,2.320503592383321845e+01
4.964709335522977662e-01,6.715959306971752696e+00,2.313544445247531911e+01
5.027553757478965268e-01,6.708814385725977658e+00,2.306566854488400509e+01
5.090398179434951764e-01,6.701584194903955627e+00,2.299570912295399339e+01
5.153242601390939370e-01,6.694268904990834379e+00,2.292556711464009211e+01
5.216087023346925866e-01,6.686868688456750753e+00,2.285524345392783729e+01
5.278931445302913472e-01,6.679383719751967874e+00,2.278473908080398758e+01
5.341775867258899968e-01,6.671814175301978622e+00,2.271405494122669211e+01
5.404620289214887574e-01,6.664160233502529174e+00,2.264319198709586800e+01
5.467464711170874070e-01,6.656422074714621218e+00,2.257215117622286726e+01
5.530309133126861676e-01,6.648599881259422695e+00,2.250093347230057006e+01
5.593153555082848172e-01,6.640693837413145673e+00,2.242953984487290242e+01
5.655997977038835778e-01,6.632704129401871818e+00,2.235797126930438949e+01
5.718842398994822274e-01,6.624630945396305925e+00,2.228622872674952049e+01
5.781686820950809880e-01,6.616474475506493924e+00,2.221431320412193244e+01
5.844531242906796376e-01,6.608234911776472487e+00,2.214222569406349805e+01
5.907375664862783982e-01,6.599912448178876900e+00,2.206996719491319681e+01
5.970220086818770477e-01,6.591507280609482322e+00,2.199753871067585109e+01
6.033064508774758083e-01,6.583019606881705954e+00,2.192494125099078417e+01
6.095908930730744579e-01,6.574449626721038165e+00,2.185217583110022588e+01
6.158753352686732185e-01,6.565797541759440747e+00,2.177924347181761533e+01
6.221597774642718681e-01,6.557063555529669685e+00,2.170614519949580057e+01
6.284442196598706287e-01,6.548247873459569490e+00,2.163288204599502507e+01
6.347286618554692783e-01,6.539350702866296494e+00,2.155945504865080053e+01
6.410131040510680389e-01,6.530372252950486178e+00,2.148586525024160210e+01
6.472975462466666885e-01,6.521312734790392973e+00,2.141211369895649597e+01
6.535819884422654491e-01,6.512172361335955451e+00,2.133820144836254684e+01
6.598664306378640987e-01,6.502951347402809112e+00,2.126412955737215071e+01
6.661508728334628593e-01,6.493649909666263653e+00,2.118989909021016160e+01
6.724353150290615089e-01,6.484268266655214497e+00,2.111551111638088685e+01
6.787197572246602695e-01,6.474806638746009035e+00,2.104096671063505752e+01
