# Time, Target, Prediction
1.822488236731958011e+01,-7.164457047286632019e-03,-7.184401154518127441e-03
2.206362914179779011e+01,3.551456653705727801e-02,3.550682961940765381e-02
5.153242600474271740e+00,-1.963544841136220451e-02,-1.958678662776947021e-02
1.071497394357912825e+01,3.716853696432680793e-02,3.709918260574340820e-02
1.697846799852583644e+01,4.489322504717287166e-02,4.493378102779388428e-02
2.911791550710733922e+00,-3.146963464234430741e-01,-3.147183060646057129e-01
1.605151277467502524e+01,3.131927987116871898e-02,3.122027218341827393e-02
1.052644067771116632e+01,2.237822020433617026e-02,2.230516821146011353e-02
1.578442398136208169e+01,1.814201208487884950e-02,1.807524263858795166e-02
1.780591955427966866e+01,1.455167779935125950e-02,1.455636322498321533e-02
2.508539843159816929e+00,-2.239378922212941769e-01,-2.239325493574142456e-01
1.239606223090178183e+01,3.159602139140774146e-02,3.154227882623672485e-02
1.595724614174104872e+01,2.702405214177730844e-02,2.693216502666473389e-02
5.074687073029288342e+00,-3.601479529704817301e-02,-3.598405420780181885e-02
2.309008803374558028e+01,9.427447516811840109e-03,9.385034441947937012e-03
2.457740602003727304e+01,-3.184737060045666340e-02,-3.188334405422210693e-02
1.227037338698980840e+01,3.975457054445688532e-02,3.968186676502227783e-02
2.327338426445054154e+01,2.060260153777550545e-03,2.016797661781311035e-03
1.794731950368063522e+01,7.248340154451605837e-03,7.237657904624938965e-03
2.213694763407977462e+01,3.507894998252823054e-02,3.508006036281585693e-02
5.483175815743204673e+00,3.960824047375696016e-02,3.956140577793121338e-02
2.262399190423867523e+01,2.583965584246704014e-02,2.584905922412872314e-02
1.818298608601558897e+01,-5.028683736513914898e-03,-5.049273371696472168e-03
7.939345307189697998e+00,-5.140858713020191040e-02,-5.142910778522491455e-02
2.533677611867211610e+01,-2.057826868717414423e-02,-2.056656777858734131e-02
1.759643814775970938e+01,2.474673227000386694e-02,2.477960288524627686e-02
1.810443055857060202e+01,-9.677935451844872855e-04,-9.877532720565795898e-04
2.363473969069746516e+01,-1.208068615076791225e-02,-1.207385957241058350e-02
2.144565899256391717e+01,2.837673045312590764e-02,2.832643687725067139e-02
1.154242549933295692e+01,6.638287298718088814e-02,6.643154472112655640e-02
1.041646293928818956e+01,1.281466606664124520e-02,1.276500523090362549e-02
2.068105185876607166e+01,-1.174355085493968866e-03,-1.174464821815490723e-03
2.407988767955237464e+01,-2.565460164784405528e-02,-2.560062706470489502e-02
1.131199595291100479e+00,4.402869862042346760e-01,4.402689933776855469e-01
2.547293903291008732e+01,-1.645411423549648922e-02,-1.643098890781402588e-02
1.466369845648031323e+01,-4.480711255952669197e-02,-4.483650624752044678e-02
2.208457728244978568e+01,3.541775161592704974e-02,3.541262447834014893e-02
1.870145256715248294e+01,-2.832242765723266137e-02,-2.830041944980621338e-02
2.046633341708311704e+01,-1.092986796470680338e-02,-1.093961298465728760e-02
2.477117632106823208e+01,-3.123798036032481365e-02,-3.130154311656951904e-02
1.134865519830199609e+01,6.550020276166677868e-02,6.557785719633102417e-02
1.163145509710393810e+01,6.554368072011954038e-02,6.556867063045501709e-02
6.137805211118069870e+00,9.813342638102609539e-02,9.816958010196685791e-02
