# Time, Target, Prediction
1.822488236745336110e+01,-6.842356352768598146e-03,-5.579493008553981781e-03
2.206362914186701829e+01,2.686105132030382897e-02,2.798859030008316040e-02
5.153242600827876885e+00,4.250013307394905938e-03,3.390722908079624176e-03
1.071497394383920110e+01,3.052601409651124753e-02,3.079181164503097534e-02
1.697846799868057843e+01,3.358521015191818365e-02,3.463609889149665833e-02
2.911791551102032027e+00,-2.041406403129344960e-01,-2.051773369312286377e-01
1.605151277484536010e+01,2.492218361717261216e-02,2.551865577697753906e-02
1.052644067797440997e+01,1.977050089080986672e-02,1.998370140790939331e-02
1.578442398153690363e+01,1.525277850910443378e-02,1.577683538198471069e-02
1.780591955442049468e+01,9.622814689628889084e-03,1.094122324138879776e-02
2.508539843557896720e+00,-1.392636203400215711e-01,-1.404326856136322021e-01
1.239606223113358396e+01,2.201522974140271427e-02,2.301064878702163696e-02
1.595724614191296453e+01,2.179303913981438939e-02,2.236252278089523315e-02
5.074687073384214209e+00,-7.058147319024966025e-03,-7.922313176095485687e-03
2.309008803379754227e+01,6.094347444623227084e-03,7.294774986803531647e-03
2.457740602006422392e+01,-2.424109462738842369e-02,-2.347690239548683167e-02
1.227037338722372262e+01,2.834647165460981930e-02,2.930318564176559448e-02
2.327338426449941977e+01,4.741628968245198980e-04,1.687907613813877106e-03
1.794731950381908803e+01,4.045641423210774579e-03,5.351834930479526520e-03
2.213694763414776645e+01,2.643123560597825800e-02,2.756296098232269287e-02
5.483175816091260479e+00,4.453965631869686442e-02,4.377143830060958862e-02
2.262399190429847451e+01,1.884701004260872642e-02,1.999536156654357910e-02
1.818298608615007694e+01,-5.238832090522602125e-03,-3.968897275626659393e-03
7.939345307496449067e+00,-3.969255010337734840e-02,-3.959799557924270630e-02
2.533677611868629853e+01,-1.488075765047432858e-02,-1.420107390731573105e-02
1.759643814790405969e+01,1.748537683493614145e-02,1.879518479108810425e-02
1.810443055870641516e+01,-2.180249999987128248e-03,-8.972277864813804626e-04
2.363473969074027181e+01,-1.016521784432076504e-02,-8.987053297460079193e-03
2.144565899264353703e+01,2.225992624457925895e-02,2.325844764709472656e-02
1.154242549957911557e+01,5.017976774500486348e-02,5.086404830217361450e-02
1.041646293955328240e+01,1.274580933624346046e-02,1.293484214693307877e-02
2.068105185885855235e+01,3.388676880052175419e-04,1.280867494642734528e-03
2.407988767958769571e+01,-2.011619750347446930e-02,-1.911482214927673340e-02
1.131199595712342854e+00,3.384230909200932058e-01,3.372728526592254639e-01
2.547293903292197825e+01,-1.165795177184274743e-02,-1.098961289972066879e-02
1.466369845667398231e+01,-3.282783560100582809e-02,-3.232809156179428101e-02
2.208457728251866214e+01,2.675905476287487178e-02,2.788798511028289795e-02
1.870145256727824901e+01,-2.248682420706549223e-02,-2.129486948251724243e-02
2.046633341717920729e+01,-7.092051960414560638e-03,-6.151749752461910248e-03
2.477117632109192513e+01,-2.354353818254342062e-02,-2.283395826816558838e-02
1.134865519855141436e+01,5.010118657035698281e-02,5.067912489175796509e-02
1.163145509734859928e+01,4.928545459158409359e-02,5.001335591077804565e-02
6.137805211455115817e+00,8.079117244369397877e-02,8.037140220403671265e-02
2.454598380908675992e+01,-2.423195482181950480e-02,-2.345608174800872803e-02
7.478486213160294938e+00,-2.427207603629344607e-04,-1.649772748351097107e-04
1.109727751073169166e+01,4.577066233518222588e-02,4.620500653982162476e-02
1.022792967368849126e+01,-2.126696263762283034e-04,-5.900021642446517944e-05
1.538640930915567928e+01,-2.422337841230872823e-03,-1.983693800866603851e-03
2.522679838026517274e+01,-1.722242705877159025e-02,-1.654098182916641235e-02
2.436792461354779249e+01,-2.352917353206840020e-02,-2.267526835203170776e-02
2.160277004753086061e+01,2.479760314633232612e-02,2.584044635295867920e-02
1.051596660764858804e+01,1.912268358987779387e-02,1.933348923921585083e-02
2.352476195231914247e+01,-7.074373100566539591e-03,-5.874729715287685394e-03
1.758072704241532591e+01,1.804371243851087339e-02,1.935124769806861877e-02
1.054215178346314374e+01,2.073317405604367669e-02,2.095011621713638306e-02
4.844257526216136256e+00,-4.298155756643858710e-02,-4.384665191173553467e-02
2.238308828680457907e+01,2.355678145691956354e-02,2.469451725482940674e-02
2.599664254921306750e+01,2.437672074093854852e-03,2.940938808023929596e-03
8.693478370955611823e+00,-7.246542521201868037e-02,-7.235982269048690796e-02
1.259506956732419525e+01,1.125175435755511842e-02,1.229920331388711929e-02
1.929323754068717633e+01,-3.085709535753663676e-02,-2.981165051460266113e-02
1.164716620283733128e+01,4.906873873941081793e-02,4.980399459600448608e-02
2.446219124648018450e+01,-2.403890225514765389e-02,-2.322861924767494202e-02
2.317388059640411413e+01,3.534351786564059357e-03,4.742608405649662018e-03
2.472928003978864098e+01,-2.380292421748525164e-02,-2.308416366577148438e-02
1.841341563331815223e+01,-1.370166111748079805e-02,-1.246889960020780563e-02
2.487591702906253310e+00,-1.347176445301644931e-01,-1.358937174081802368e-01
1.895806729497327092e+00,3.597114690107790919e-02,3.464540839195251465e-02
6.326338477319907838e+00,7.979029213030795764e-02,7.945493608713150024e-02
2.460882823104169148e+01,-2.421581726927991146e-02,-2.346258237957954407e-02
