# Time, Target, Prediction
1.822488236731958011e+01,-7.891516545540771740e-03,-7.902193814516067505e-03
2.206362914179779011e+01,2.747291693863617573e-02,2.763673663139343262e-02
5.153242600474271740e+00,1.169574909295324414e-02,1.156138256192207336e-02
1.071497394357912825e+01,3.344588022701962260e-02,3.330463916063308716e-02
1.697846799852583644e+01,3.423661388984923504e-02,3.421474620699882507e-02
2.911791550710733922e+00,-2.157004667197839065e-01,-2.157557606697082520e-01
1.605151277467502524e+01,2.646341930882040172e-02,2.647818252444267273e-02
1.052644067771116632e+01,2.267106513542028676e-02,2.252090722322463989e-02
1.578442398136208169e+01,1.676408099423410195e-02,1.678413897752761841e-02
1.780591955427966866e+01,9.000106406146669152e-03,9.018003940582275391e-03
2.508539843159816929e+00,-1.539075040346190582e-01,-1.539324820041656494e-01
1.239606223090178183e+01,2.175565509270769790e-02,2.178552001714706421e-02
1.595724614174104872e+01,2.334056831704579490e-02,2.336128056049346924e-02
5.074687073029288342e+00,2.302483092577745083e-04,1.052655279636383057e-04
2.309008803374558028e+01,5.543534685756201091e-03,5.684986710548400879e-03
2.457740602003727304e+01,-2.486481288614277377e-02,-2.469468861818313599e-02
1.227037338698980840e+01,2.837699735629882480e-02,2.841820567846298218e-02
2.327338426445054154e+01,-2.334882703101115453e-04,-1.004785299301147461e-04
1.794731950368063522e+01,3.251450139178089106e-03,3.257557749748229980e-03
2.213694763407977462e+01,2.696554008014921677e-02,2.713292464613914490e-02
5.483175815743204673e+00,5.211051299284223670e-02,5.198121815919876099e-02
2.262399190423867523e+01,1.880876538987154289e-02,1.898334175348281860e-02
1.818298608601558897e+01,-6.257190991111718885e-03,-6.266716867685317993e-03
7.939345307189697998e+00,-4.110424227289289495e-02,-4.121304675936698914e-02
2.533677611867211610e+01,-1.473803683397690786e-02,-1.448027044534683228e-02
1.759643814775970938e+01,1.715664901085719660e-02,1.718512177467346191e-02
1.810443055857060202e+01,-3.133233112186072089e-03,-3.139033913612365723e-03
2.363473969069746516e+01,-1.106981179789480636e-02,-1.092196255922317505e-02
2.144565899256391717e+01,2.330908910046879459e-02,2.346885576844215393e-02
1.154242549933295692e+01,5.199459436453171546e-02,5.190351605415344238e-02
1.041646293928818956e+01,1.558295091517491321e-02,1.542118191719055176e-02
2.068105185876607166e+01,1.186792882777956519e-03,1.356704160571098328e-03
2.407988767955237464e+01,-2.102653197324690082e-02,-2.084227651357650757e-02
1.131199595291100479e+00,3.339491613756308541e-01,3.338182568550109863e-01
2.547293903291008732e+01,-1.137607590185654542e-02,-1.109611243009567261e-02
1.466369845648031323e+01,-3.277993989519863149e-02,-3.288678079843521118e-02
2.208457728244978568e+01,2.734915395773010113e-02,2.751402184367179871e-02
1.870145256715248294e+01,-2.367284796161806329e-02,-2.365066483616828918e-02
2.046633341708311704e+01,-6.446694398754893029e-03,-6.297681480646133423e-03
2.477117632106823208e+01,-2.399262835678700467e-02,-2.382402867078781128e-02
1.134865519830199609e+01,5.231796349271634894e-02,5.219148844480514526e-02
1.163145509710393810e+01,5.089648817778813505e-02,5.082695186138153076e-02
6.137805211118069870e+00,8.651177332879274318e-02,8.646267652511596680e-02
2.454598380905927613e+01,-2.488129766245798791e-02,-2.470982074737548828e-02
7.478486212845793624e+00,-6.849593351632894418e-04,-7.117241621017456055e-04
1.109727751047804922e+01,4.839488471006736514e-02,4.825111478567123413e-02
1.022792967342022763e+01,2.428550288813555343e-03,2.237293869256973267e-03
1.538640930897416403e+01,-1.221852583208277295e-03,-1.261595636606216431e-03
2.522679838024913934e+01,-1.719616014973905649e-02,-1.696138828992843628e-02
2.436792461351731731e+01,-2.430640074796940400e-02,-2.412567287683486938e-02
2.160277004745388396e+01,2.578014575668698127e-02,2.593489736318588257e-02
1.051596660738516853e+01,2.201885810284258740e-02,2.186773344874382019e-02
2.352476195227448841e+01,-7.936399578110731393e-03,-7.797300815582275391e-03
1.758072704227071270e+01,1.773856339207420876e-02,1.776725426316261292e-02
1.054215178320016300e+01,2.363966832247128488e-02,2.349068596959114075e-02
4.844257525857336155e+00,-3.645121632672583545e-02,-3.654646500945091248e-02
2.238308828674072615e+01,2.380883916800361280e-02,2.398537099361419678e-02
2.599664254920998019e+01,3.143404672008422683e-03,3.367997705936431885e-03
8.693478370661543053e+00,-7.347306384067799068e-02,-7.360182702541351318e-02
1.259506956709573977e+01,1.057826307601177594e-02,1.056880503892898560e-02
1.929323754057136142e+01,-3.168427711843547351e-02,-3.160506114363670349e-02
1.164716620259293656e+01,5.064281928301807983e-02,5.057745426893234253e-02
2.446219124645129739e+01,-2.475226967265473782e-02,-2.457644045352935791e-02
2.317388059635356257e+01,2.907695701464450833e-03,3.044135868549346924e-03
2.472928003976424094e+01,-2.429193339016702882e-02,-2.412431687116622925e-02
1.841341563318754027e+01,-1.485271062738814304e-02,-1.485987380146980286e-02
2.487591702507821356e+00,-1.494758022456459112e-01,-1.495010852813720703e-01
1.895806729088942877e+00,2.068723110768610346e-02,2.063014358282089233e-02
6.326338476986030912e+00,8.463686192010015652e-02,8.458206802606582642e-02
2.460882823101526640e+01,-2.481308920396917833e-02,-2.464410662651062012e-02
6.745301290025944141e+00,6.460880591574386100e-02,6.458227336406707764e-02
2.105288135608899935e+00,-4.882255778749024916e-02,-4.887065663933753967e-02
2.188033291109282885e+01,2.781599142748189535e-02,2.797240391373634338e-02
7.881737920396711061e+00,-3.664537320543150706e-02,-3.674854710698127747e-02
2.117857019925097006e+01,1.717039574649204328e-02,1.734305545687675476e-02
2.325767315896154130e+01,2.616238180940519734e-04,3.949329257011413574e-04
