# Time, Target, Prediction
2.070014002892599070e+00,5.772796981657737359e-01,1.054202914237976074e-01
1.993558711744681133e+01,-4.387487947738760025e-02,5.611688643693923950e-02
2.515223044609248504e+01,-3.471706836353467829e-02,5.600290000438690186e-02
2.377915583117477993e+01,-2.353211206757549467e-03,5.591751635074615479e-02
3.307861572401741057e+00,-1.128391932116426001e-02,1.028026938438415527e-01
1.323664732951498557e+01,9.441402166049692873e-03,6.072204560041427612e-02
6.038407681613084499e+00,1.120815411196815076e-01,8.639959990978240967e-02
1.159831966398818004e+01,6.930458288107284315e-02,6.371216475963592529e-02
7.697539508871976688e-01,9.962537182151153248e-01,1.012403368949890137e-01
1.315863172639466150e+01,1.580807634178165236e-02,6.083977222442626953e-02
2.116823364674793240e+01,2.142489171626787026e-03,5.595681816339492798e-02
6.558511702415244393e+00,1.518999745067489970e-01,8.323436975479125977e-02
2.435127025405715528e+01,-2.487034165074958336e-02,5.594654381275177002e-02
1.731946389371194606e+00,7.519933260736094693e-01,1.050509959459304810e-01
4.712142428567574370e+00,-1.103423708645393519e-01,9.496948122978210449e-02
1.648729745952848802e+01,3.395087318504932256e-02,5.741840600967407227e-02
2.512102420574435335e+00,3.374640594155608464e-01,1.051544547080993652e-01
1.469293858776103612e+01,-5.915281066146303030e-02,5.889414250850677490e-02
9.247449489962415115e+00,-8.506403858861739942e-02,7.045318186283111572e-02
1.282576515308127973e+01,4.174346252570595994e-02,6.136760115623474121e-02
8.269653931754352705e-01,9.994997446057357626e-01,1.015931665897369385e-01
8.129225845237769477e+00,1.475196039446460827e-02,7.501938939094543457e-02
2.090818163724685430e+00,5.660085110570539646e-01,1.054265797138214111e-01
2.214602920585599577e+01,3.769840190744015718e-02,5.590257048606872559e-02
2.483496699340316383e+01,-3.463261120911677315e-02,5.597858875989913940e-02
5.695139027883658223e+00,6.137732153503179522e-02,8.857956528663635254e-02
1.588397679539798446e+01,-2.525380373764954563e-03,5.783522129058837891e-02
2.219803960793621300e+01,3.836747021166003746e-02,5.590116977691650391e-02
1.930106021206817601e+01,-3.669887838384064405e-02,5.624900013208389282e-02
2.356071214333787189e+00,4.212099619426316055e-01,1.053422987461090088e-01
2.124624924986825647e+01,6.038102235610199806e-03,5.595034360885620117e-02
2.008121624327141674e+01,-4.188402249470413868e-02,5.609175562858581543e-02
2.283256651331484832e+01,3.419030692791593523e-02,5.589494854211807251e-02
9.892378475757093170e+00,-7.003495102032882003e-02,6.825442612171173096e-02
1.254490898184811343e+01,5.980460885577650737e-02,6.184661388397216797e-02
7.083816763425426544e+00,1.401837936023225262e-01,8.024918287992477417e-02
1.964432886579760407e+01,-4.379371354450091458e-02,5.617284774780273438e-02
1.866653330668954069e+01,-7.680664471362844831e-03,5.642189085483551025e-02
2.026845369076019665e+01,-3.748812585894770177e-02,5.606199800968170166e-02
1.774074814966169455e+01,4.091826102393704423e-02,5.676019191741943359e-02
1.890578115625853428e+01,-2.043627546541838119e-02,5.635154247283935547e-02
1.326265253055509419e+01,7.318095182057954805e-03,6.068331003189086914e-02
2.414842968594431483e+01,-1.786013942225263620e-02,5.593506991863250732e-02
8.170834166901942197e+00,9.047045400839028723e-03,7.483100146055221558e-02
3.162232446577136091e+00,3.875525605925277811e-02,1.033874154090881348e-01
1.129665933192292826e+01,5.292723742741444609e-02,6.439638137817382812e-02
3.510702140514583736e+00,-6.830498899774574417e-02,1.018931567668914795e-01
2.171434286859020091e+01,2.659321603299222292e-02,5.591963976621627808e-02
1.955591118316123644e+00,6.385111960319402868e-01,1.053518056869506836e-01
1.564992998603701224e+01,-1.816067720514621606e-02,5.801716446876525879e-02
2.028925785159228212e+01,-3.688170893765407854e-02,5.605889856815338135e-02
1.945189037810080279e+01,-4.071796487128125780e-02,5.621413886547088623e-02
6.969393879748951859e-01,9.875080910074335305e-01,1.007601022720336914e-01
8.602520504167735282e+00,-4.384640859397473389e-02,7.296286523342132568e-02
9.751950390140510905e+00,-7.768977783512187596e-02,6.870822608470916748e-02
2.259331866374585474e+01,3.838176267061740171e-02,5.589510500431060791e-02
2.772154430975515726e+00,2.057111588622138332e-01,1.046278774738311768e-01
2.477255451090690741e+01,-3.400624278114237897e-02,5.597408115863800049e-02
1.154110822169994321e+01,6.687615397945653739e-02,6.383840739727020264e-02
1.495819163837013832e+01,-5.377599024228844199e-02,5.862824618816375732e-02
1.097939587923360882e+01,2.761184197990512040e-02,6.516750156879425049e-02
4.852570514184158412e+00,-8.991404273702312266e-02,9.406365454196929932e-02
1.370994198844495315e+01,-2.707588528402469011e-02,6.005381792783737183e-02
1.585277055414985448e+01,-4.625294535300688605e-03,5.785881727933883667e-02
2.285337067414693379e+01,3.368968937347431580e-02,5.589507520198822021e-02
2.413282656622024902e+00,3.902374120087094833e-01,1.052850037813186646e-01
1.065173034612824843e+01,-3.729489781433511109e-03,6.602265685796737671e-02
1.454210842172840934e+01,-5.953551151671299113e-02,5.905374884605407715e-02
2.352430486098172224e+01,9.107491420086854736e-03,5.590809881687164307e-02
1.058931786363198846e+01,-9.922987701558937113e-03,6.619261205196380615e-02
1.981596319356231817e+00,6.247304316220601006e-01,1.053724288940429688e-01
2.047129425887303711e+01,-3.068279503665834532e-02,5.603301525115966797e-02
4.483296659414624408e+00,-1.355406735758366288e-01,9.642171859741210938e-02
1.922304460894785194e+01,-3.410287973633597397e-02,5.626795440912246704e-02
2.948989798048250233e+00,1.246115129953363487e-01,1.041281521320343018e-01
6.662532506575677083e+00,1.536604218372751018e-01,8.262521028518676758e-02
5.211442288537648793e+00,-2.714324597440257239e-02,9.172376990318298340e-02
7.177435488069815461e-01,9.905548121618205082e-01,1.009010374546051025e-01
1.885377075417831705e+01,-1.780183481448866303e-02,5.636628717184066772e-02
1.675775155034561337e+01,4.487365181108680934e-02,5.725412070751190186e-02
1.501020204045035378e+01,-5.206775627964171232e-02,5.857823044061660767e-02
1.601920384170654632e+00,8.121600267057279554e-01,1.047750264406204224e-01
1.834926985400022303e+01,1.058416303612945766e-02,5.652548372745513916e-02
1.581116223338568050e+00,8.212749721385652624e-01,1.047240495681762695e-01
6.605321064287439370e+00,1.529525740850575521e-01,8.295922726392745972e-02
4.249249850053652189e+00,-1.478946215670152720e-01,9.786190092563629150e-02
5.710742148507723215e+00,6.399737349927304975e-02,8.847928047180175781e-02
6.912182436560714294e+00,1.494859541228427402e-01,8.119916170835494995e-02
1.022004400886245534e+01,-4.510328660659451705e-02,6.724661588668823242e-02
1.863532706544141249e+01,-5.920102184303156073e-03,5.643154680728912354e-02
1.567593518707711908e+01,-1.645215520118914823e-02,5.799636989831924438e-02
3.588717743634907809e+00,-8.616210973528551365e-02,1.015165150165557861e-01
2.172994598921426501e+01,2.715116782537285722e-02,5.591885745525360107e-02
2.610922184526846213e+00,2.859696658169129657e-01,1.049849092960357666e-01
1.513502700634287157e+00,8.497917716148487566e-01,1.045454740524291992e-01
1.523384676939528326e+01,-4.259524007558015274e-02,5.837097018957138062e-02
1.463572714547279752e+01,-5.953412870099682869e-02,5.895395576953887939e-02
2.191718343670304492e+01,3.298450108040237166e-02,5.591033399105072021e-02
1.472414482900916610e+01,-5.882486651006305772e-02,5.886188149452209473e-02
5.923984797036609073e+00,9.697062542460903323e-02,8.711950480937957764e-02
4.935787157512503853e+00,-7.644709476447976437e-02,9.352335333824157715e-02
7.172234446961794241e+00,1.335519881142144538e-01,7.976967096328735352e-02
2.489737947589942380e+01,-3.505923306673178891e-02,5.598317086696624756e-02
2.133466693340462328e+01,1.035292373640110848e-02,5.594351887702941895e-02
4.634126825447250297e+00,-1.201850290139453992e-01,9.546843171119689941e-02
1.962872574517353641e+01,-4.363313311979778730e-02,5.617606639862060547e-02
1.915023004603554924e+01,-3.138437281495765757e-02,5.628622323274612427e-02
7.936787357540969978e+00,4.165902037877761144e-02,7.591012120246887207e-02
2.176635327067041814e+01,2.841217304950073227e-02,5.591704696416854858e-02
9.543908781819647302e+00,-8.480698873244206515e-02,6.940567493438720703e-02
5.877175436064414615e-01,9.638335268645534804e-01,9.996604919433593750e-02
2.214082816564797440e+01,3.762308373452567800e-02,5.590273439884185791e-02
1.869253850772964753e+01,-9.134832828809896429e-03,5.641391128301620483e-02
7.619523904851652318e+00,8.503554858965016450e-02,7.744916528463363647e-02
7.541508301731328245e+00,9.492159248888268341e-02,7.784120738506317139e-02
1.307021404285829469e+01,2.296203867943828400e-02,6.097589433193206787e-02
2.228125625126455844e+01,3.911671590701826240e-02,5.589926242828369141e-02
1.982636527307835905e+01,-4.449099906812612609e-02,5.613697320222854614e-02
2.273374674936243522e+01,3.627990870401214679e-02,5.589468032121658325e-02
1.345509101825189369e+01,-8.169821997118235923e-03,6.040400266647338867e-02
1.054250850175979437e+01,-1.456180433704381237e-02,6.632162630558013916e-02
2.244248849771322796e+01,3.943214779201587722e-02,5.589650571346282959e-02
7.645529105891760047e+00,8.164603381535588678e-02,7.731968909502029419e-02
2.261412282457794021e+01,3.813724493407178590e-02,5.589497089385986328e-02
2.363352670535017452e+01,4.207532890789940014e-03,5.591186881065368652e-02
2.000320064015109267e+01,-4.311332321714250737e-02,5.610497295856475830e-02
1.113022604616623612e+00,9.742739423350474937e-01,1.030859053134918213e-01
1.282056411287325837e+01,4.211866394202236352e-02,6.137619912624359131e-02
2.514182836567643875e+01,-3.479596342318336255e-02,5.600206553936004639e-02
7.026605321137188831e+00,1.438280585960290681e-01,8.056303858757019043e-02
3.526305261138648728e+00,-7.205943601484950112e-02,1.018189340829849243e-01
