# Time, Strain, Stress
1.000000000000000036e-10,7.000000000000000000e+00,7.000000000000000000e+00
5.201040308021605274e-03,7.086938668008509801e+00,6.999953923506554432e+00
1.040208051604321095e-02,7.173004214130494383e+00,6.999815695121612613e+00
1.560312072406481662e-02,7.258203326532813193e+00,6.999585318120691291e+00
2.080416093208642403e-02,7.342542625382971089e+00,6.999262797962887639e+00
2.600520114010802797e-02,7.426028663604626878e+00,6.998848142290721164e+00
3.120624134812963538e-02,7.508667927625269023e+00,6.998341360929912547e+00
3.640728155615124279e-02,7.590466838116131321e+00,6.997742465889120744e+00
4.160832176417284672e-02,7.671431750724379661e+00,6.997051471359592156e+00
4.680936197219445066e-02,7.751568956797728838e+00,6.996268393714761835e+00
5.201040218021605460e-02,7.830884684101487636e+00,6.995393251509795185e+00
5.721144238823766548e-02,7.909385097528155661e+00,6.994426065481064825e+00
6.241248259625926942e-02,7.987076299799643841e+00,6.993366858545563503e+00
6.761352280428087336e-02,8.063964332162187887e+00,6.992215655800252172e+00
7.281456301230247730e-02,8.140055175073976912e+00,6.990972484521366326e+00
7.801560322032408124e-02,8.215354748885717484e+00,6.989637374163632622e+00
8.321664342834568517e-02,8.289868914514009646e+00,6.988210356359448205e+00
8.841768363636728911e-02,8.363603474107751623e+00,6.986691464917977434e+00
9.361872384438889305e-02,8.436564171707615856e+00,6.985080735824209519e+00
9.881976405241049699e-02,8.508756693898599011e+00,6.983378207237936230e+00
1.040208042604321009e-01,8.580186670455809406e+00,6.981583919492678980e+00
1.092218444684537187e-01,8.650859674983511383e+00,6.979697915094549288e+00
1.144228846764753227e-01,8.720781225547442617e+00,6.977720238721050627e+00
1.196239248844969266e-01,8.789956785300676145e+00,6.975650937219818992e+00
1.248249650925185306e-01,8.858391763102719807e+00,6.973490059607299507e+00
1.300260053005401484e-01,8.926091514132400206e+00,6.971237657067367088e+00
1.352270455085617662e-01,8.993061340494143963e+00,6.968893782949880489e+00
1.404280857165833563e-01,9.059306491818018614e+00,6.966458492769175948e+00
1.456291259246049741e-01,9.124832165853511867e+00,6.963931844202507548e+00
1.508301661326265641e-01,9.189643509057008330e+00,6.961313897088412972e+00
1.560312063406481820e-01,9.253745617173246174e+00,6.958604713425036614e+00
1.612322465486697720e-01,9.317143535810560095e+00,6.955804357368364776e+00
1.664332867566913898e-01,9.379842261010209015e+00,6.952912895230436874e+00
1.716343269647130076e-01,9.441846739809680145e+00,6.949930395477457168e+00
1.768353671727345977e-01,9.503161870800074240e+00,6.946856928727874525e+00
1.820364073807562155e-01,9.563792504677726569e+00,6.943692567750388456e+00
1.872374475887778056e-01,9.623743444789971235e+00,6.940437387461897423e+00
1.924384877967994234e-01,9.683019447675201619e+00,6.937091464925385864e+00
1.976395280048210135e-01,9.741625223597266015e+00,6.933654879347750821e+00
2.028405682128426313e-01,9.799565437074269525e+00,6.930127712077573499e+00
2.080416084208642213e-01,9.856844707401789307e+00,6.926510046602818882e+00
2.132426486288858392e-01,9.913467609170615091e+00,6.922801968548485618e+00
2.184436888369074570e-01,9.969438672779050492e+00,6.919003565674191947e+00
2.236447290449290470e-01,1.002476238493979999e+01,6.915114927871701234e+00
2.288457692529506649e-01,1.007944318918154458e+01,6.911136147162387999e+00
2.340468094609722549e-01,1.013348548634525237e+01,6.907067317694646214e+00
2.392478496689938727e-01,1.018689363507522927e+01,6.902908535741232754e+00
2.444488898770154628e-01,1.023967195230501837e+01,6.898659899696548692e+00
2.496499300850370806e-01,1.029182471373817798e+01,6.894321510073879722e+00
2.548509702930586984e-01,1.034335615432397937e+01,6.889893469502553991e+00
2.600520105010802885e-01,1.039427046872809335e+01,6.885375882725043972e+00
2.652530507091018785e-01,1.044457181179831373e+01,6.880768856594028371e+00
2.704540909171235241e-01,1.049426429902534430e+01,6.876072500069373206e+00
2.756551311251451142e-01,1.054335200699876118e+01,6.871286924215060488e+00
2.808561713331667042e-01,1.059183897385808315e+01,6.866412242196060056e+00
2.860572115411882943e-01,1.063972919973916653e+01,6.861448569275143683e+00
2.912582517492099399e-01,1.068702664721575601e+01,6.856396022809630786e+00
2.964592919572315299e-01,1.073373524173649329e+01,6.851254722248092399e+00
3.016603321652531200e-01,1.077985887205722548e+01,6.846024789126969878e+00
3.068613723732747656e-01,1.082540139066868790e+01,6.840706347067168736e+00
3.120624125812963556e-01,1.087036661421976902e+01,6.835299521770567210e+00
3.172634527893179457e-01,1.091475832393617829e+01,6.829804441016472438e+00
3.224644929973395358e-01,1.095858026603473689e+01,6.824221234658024215e+00
3.276655332053611813e-01,1.100183615213321175e+01,6.818550034618544586e+00
3.328665734133827714e-01,1.104452965965586309e+01,6.812790974887810158e+00
