# Time, Target, Prediction
2.468093618815783596e+00,5.575283955564463989e-01,1.003743857145309448e-01
2.376935387079748097e+01,-4.391440287071912002e-02,5.156259238719940186e-02
2.998919783957117602e+01,-3.467975863233001277e-02,5.219782888889312744e-02
2.835207041409135797e+01,-3.008803050300280866e-03,5.198517441749572754e-02
3.943988797846829986e+00,-2.804270546786186841e-02,9.517534077167510986e-02
1.578215643133534840e+01,7.297973020549840609e-03,5.360369384288787842e-02
7.199639928062373073e+00,1.066953031225927051e-01,7.548925280570983887e-02
1.382876575320602264e+01,6.837405681695560289e-02,5.561694502830505371e-02
9.177835568083817508e-01,9.981328511574597551e-01,9.719769656658172607e-02
1.568913782761490516e+01,1.365588243667103380e-02,5.367768555879592896e-02
2.523904780958049798e+01,2.805724334658151777e-03,5.165235698223114014e-02
7.819763952865334211e+00,1.457920081194821471e-01,7.233311980962753296e-02
2.903420684137461549e+01,-2.536643847279680675e-02,5.207214504480361938e-02
2.065013002693858901e+00,7.347358446320286784e-01,1.004824787378311157e-01
5.618323664814823815e+00,-1.178694189215145766e-01,8.487136662006378174e-02
1.965793158635385041e+01,3.441085993676366167e-02,5.183015018701553345e-02
2.995199039898300164e+00,3.171159788242136068e-01,9.927618503570556641e-02
1.751850370078363639e+01,-5.972950998644219883e-02,5.253259837627410889e-02
1.102580516109664011e+01,-8.910183624988578244e-02,6.083488464355468750e-02
1.529225845174100940e+01,3.966229080030513748e-02,5.401562899351119995e-02
9.859971995367075026e-01,9.999850208830507459e-01,9.753613173961639404e-02
9.692538507770274592e+00,7.840536017802449131e-03,6.472701579332351685e-02
2.492898579807901971e+00,5.461680770218927394e-01,1.003461331129074097e-01
2.640488097621006247e+01,3.793280013695706637e-02,5.176024138927459717e-02
2.961092218444137103e+01,-3.482614113653765414e-02,5.214763432741165161e-02
6.790358071692419450e+00,5.613740771366648036e-02,7.774926722049713135e-02
1.893858771758241843e+01,-1.942132287654626307e-03,5.200646072626113892e-02
2.646689337869035796e+01,3.856203861047623194e-02,5.176666378974914551e-02
2.301280256053786744e+01,-3.732173354491690603e-02,5.154387652873992920e-02
2.809161832457411911e+00,4.007855284734876400e-01,9.977868199348449707e-02
2.533206641330094300e+01,6.698281175126958448e-03,5.165997892618179321e-02
2.394298859774231047e+01,-4.178739784801423912e-02,5.156984925270080566e-02
2.722344468894997149e+01,3.389038148308533976e-02,5.184946954250335693e-02
1.179475895185231238e+01,-7.217110048851611837e-02,5.905398726463317871e-02
1.495739147834741090e+01,5.790594483386291708e-02,5.433028191328048706e-02
8.446089217916323832e+00,1.332677233323263932e-01,6.947737932205200195e-02
2.342208441690782195e+01,-4.411272372951278303e-02,5.155129730701446533e-02
2.225625125027825746e+01,-8.635849639454138207e-03,5.154940485954284668e-02
2.416623324667137496e+01,-3.722832003269522377e-02,5.158061534166336060e-02
2.115243048612898491e+01,4.026933309028084967e-02,5.161160230636596680e-02
2.254150830168761743e+01,-2.131248549126671735e-02,5.154418945312500000e-02
1.581316263257549615e+01,5.179783937339538756e-03,5.357944965362548828e-02
2.879235847170146201e+01,-1.844331525866822058e-02,5.204099416732788086e-02
9.742148429754511341e+00,2.198094391192970641e-03,6.456163525581359863e-02
3.770354070902000920e+00,2.106155608898196280e-02,9.608243405818939209e-02
1.346909381882030488e+01,5.221182353235441498e-02,5.610983818769454956e-02
4.185837167519984803e+00,-8.365616941567953491e-02,9.382764995098114014e-02
2.589017803562360598e+01,2.710926265835970905e-02,5.170943588018417358e-02
2.331666333359132093e+00,6.193759275216279558e-01,1.004857569932937622e-01
1.865953190642108339e+01,-1.766812714012562513e-02,5.208981037139892578e-02
2.419103820766349244e+01,-3.660490075756475670e-02,5.158190429210662842e-02
2.319263852773072543e+01,-4.121380487351568311e-02,5.154630541801452637e-02
8.309661933359673291e-01,9.910414839534675835e-01,9.673593938350677490e-02
1.025685137034096961e+01,-4.979426416125791455e-02,6.294371932744979858e-02
1.162732546515551313e+01,-8.020036462420604417e-02,5.941607058048248291e-02
2.693818763754060797e+01,3.826186858541061331e-02,5.181736499071121216e-02
3.305261052299780289e+00,1.860433877027947158e-01,9.819206595420837402e-02
2.953650730146501502e+01,-3.424386345278310900e-02,5.213782936334609985e-02
1.376055211047769689e+01,6.599526220763372863e-02,5.570709705352783203e-02
1.783476695343314589e+01,-5.397327957799837039e-02,5.239209532737731934e-02
1.309081816369049989e+01,2.696196746734228628e-02,5.667699873447418213e-02
5.785757151511623064e+00,-9.683480149992285124e-02,8.380942046642303467e-02
1.634646929390603987e+01,-2.895970535990039993e-02,5.319386720657348633e-02
1.890138027609424043e+01,-4.049492376020148200e-03,5.201706290245056152e-02
2.724824964994208898e+01,3.337514023498484167e-02,5.185230821371078491e-02
2.877375475185737663e+00,3.698084120446639145e-01,9.960819780826568604e-02
1.270014002806463438e+01,-4.536729669446151920e-03,5.731931328773498535e-02
1.733866773359077840e+01,-6.033859893633337912e-02,5.261917412281036377e-02
2.804820964193790900e+01,8.474027067942042912e-03,5.194748938083648682e-02
1.262572514508827837e+01,-1.078887527049152140e-02,5.744853615760803223e-02
2.362672534599280283e+00,6.054359135504530087e-01,1.004670709371566772e-01
2.440808161634452844e+01,-3.026944220883195924e-02,5.159399658441543579e-02
5.345469093901520807e+00,-1.442449168896767497e-01,8.661697804927825928e-02
2.291978395681742597e+01,-3.478588359369628319e-02,5.154317617416381836e-02
3.516103220732786916e+00,1.057229460408714017e-01,9.729982912540435791e-02
7.943788757825926083e+00,1.473799422601825004e-01,7.174131274223327637e-02
6.213642728625665690e+00,-3.294405618465606755e-02,8.115143328905105591e-02
8.557711543280857036e-01,9.936337673484602062e-01,9.687162935733795166e-02
2.247949589920732194e+01,-1.870052202321228346e-02,5.154496431350708008e-02
1.998039607925139194e+01,4.514068024585483202e-02,5.176745355129241943e-02
1.789677935591344138e+01,-5.219566508146851469e-02,5.236619710922241211e-02
1.909981996493118839e+00,7.964490471639434910e-01,1.003439277410507202e-01
2.187797559514844892e+01,9.626125732255842032e-03,5.156277120113372803e-02
1.885177035501000464e+00,8.058446487058212870e-01,1.003123968839645386e-01
7.875575115097600332e+00,1.467670579988672730e-01,7.206515967845916748e-02
5.066413282740188428e+00,-1.580157254861346283e-01,8.840656280517578125e-02
6.808961792436508453e+00,5.875933721332503995e-02,7.764358818531036377e-02
8.241448289731346577e+00,1.428070210129783746e-01,7.037424296140670776e-02
1.218543708747817789e+01,-4.650742105348749239e-02,5.826081335544586182e-02
2.221904380879007945e+01,-6.880834985908897659e-03,5.155039578676223755e-02
1.869053810766123291e+01,-1.594557917518466331e-02,5.208010971546173096e-02
4.278855771240428929e+00,-1.009515826073457273e-01,9.328733384609222412e-02
2.590878175636769498e+01,2.765908471010362218e-02,5.171117186546325684e-02
3.113022604610862665e+00,2.658058452151170759e-01,9.889873862266540527e-02
1.804560912276615525e+00,8.353387336292042997e-01,1.001924723386764526e-01
1.816343268657871590e+01,-4.245213368818105681e-02,5.226105451583862305e-02
1.745029005805531241e+01,-6.019630588593282566e-02,5.256484448909759521e-02
2.613202640529675946e+01,3.338142534172168496e-02,5.173274129629135132e-02
1.755571114227181440e+01,-5.935529694709727744e-02,5.251529812812805176e-02
7.063212642605721570e+00,9.167348894403695714e-02,7.622735202312469482e-02
5.884976995480096562e+00,-8.305263157056050338e-02,8.318509161472320557e-02
8.551510302132827590e+00,1.265321200007168967e-01,6.902880966663360596e-02
2.968533706741772349e+01,-3.520788859343393362e-02,5.215746164321899414e-02
2.543748749751744498e+01,1.100200747915499808e-02,5.166883021593093872e-02
5.525305061094379688e+00,-1.280879768654237527e-01,8.546490967273712158e-02
2.340348069616373294e+01,-4.396690250863188876e-02,5.155082046985626221e-02
2.283296659334500944e+01,-3.211946748191727569e-02,5.154282599687576294e-02
9.463092618593179850e+00,3.452126469138253745e-02,6.551427394151687622e-02
2.595219043810390147e+01,2.890040704772538910e-02,5.171529948711395264e-02
1.137927585523432761e+01,-8.792220956365942586e-02,5.997822433710098267e-02
7.007401481273455301e-01,9.693904220057737442e-01,9.596849977970123291e-02
2.639867973596203399e+01,3.786141863950322900e-02,5.175958573818206787e-02
2.228725745151840343e+01,-1.008453415589119495e-02,5.154864490032196045e-02
9.084816963463373085e+00,7.775625816899781051e-02,6.689549237489700317e-02
8.991798359742929847e+00,8.765111923463377031e-02,6.725159287452697754e-02
1.558371674339840141e+01,2.081180700358811406e-02,5.376391857862472534e-02
2.656611322265883146e+01,3.924611364489843934e-02,5.177704989910125732e-02
2.363912782558885795e+01,-4.463533126427376291e-02,5.155785381793975830e-02
2.710562112423740899e+01,3.605199230307772756e-02,5.183608829975128174e-02
1.604260852175259089e+01,-1.023639398315739392e-02,5.340635776519775391e-02
