# Time, Target, Prediction
1.450658740234034738e+00,1.941908421158577425e-01,-7.152110338211059570e-03
8.965804199137487274e+00,-7.155819935020443778e-02,-1.438797265291213989e-02
7.960293448591694299e-01,4.912158940517076244e-01,3.309294581413269043e-03
1.553304629353813304e+01,5.710293399574517537e-03,-1.117358356714248657e-02
2.305342878760458802e+01,6.686667628552422221e-03,-8.928380906581878662e-03
2.102145914436100327e+01,1.261258774770550317e-02,-9.427748620510101318e-03
8.442100682837594405e+00,-6.867277335506569158e-02,-1.472176611423492432e-02
2.352999898743748730e+01,-8.089851301106277398e-03,-8.820950984954833984e-03
1.556970553967912529e+01,7.402786279113768297e-03,-1.115966588258743286e-02
7.305664052466829261e+00,1.599740495707741364e-02,-1.549150049686431885e-02
1.405620237757243807e+01,-4.384595214650953421e-02,-1.176583021879196167e-02
8.971041234300487943e+00,-7.145157097509967359e-02,-1.438472419977188110e-02
1.514550569147621317e+01,-1.273112031926293929e-02,-1.132312417030334473e-02
4.739516822597357404e+00,-5.422354297474369506e-02,-1.719622313976287842e-02
1.884285251655345306e+01,-2.694363968105406570e-02,-1.004503667354583740e-02
1.539164634413716470e+01,-9.712581404978051390e-04,-1.122768968343734741e-02
1.031695927119120881e+01,8.770850380493045231e-03,-1.358766108751296997e-02
2.733732355168770667e+00,-1.939800748673902453e-01,-1.556619256734848022e-02
2.702310144190777308e+00,-1.892295942030100542e-01,-1.546802371740341187e-02
2.129378497283694927e+01,2.009373269111659407e-02,-9.356737136840820312e-03
1.530261674636617997e+01,-5.242473424626665525e-03,-1.126202940940856934e-02
1.519263900794320499e+01,-1.050289369493566383e-02,-1.130472123622894287e-02
1.552780925837513593e+01,5.466847849273774942e-03,-1.117556542158126831e-02
2.168656261006186625e+01,2.671599949945717770e-02,-9.256638586521148682e-03
2.334670275673252604e+01,-2.531264517264967488e-03,-8.861854672431945801e-03
5.305116620201241417e+00,3.197395379114931907e-02,-1.689546555280685425e-02
2.566147230702805482e-01,7.935027106898420168e-01,1.535297185182571411e-02
8.180248924687647971e+00,-5.707501144003143678e-02,-1.489371806383132935e-02
1.857052668807751061e+01,-1.998814248467947405e-02,-1.012869924306869507e-02
2.564052415812605545e+01,-6.884310441783132901e-03,-8.385896682739257812e-03
2.004213356888020670e+01,-2.027141656718157645e-02,-9.694091975688934326e-03
6.404894004431014309e+00,8.243799218226065262e-02,-1.613602787256240845e-02
5.577442448677184750e+00,6.101208787242076020e-02,-1.671941578388214111e-02
1.621909789989099338e+01,3.107166376685694537e-02,-1.091847568750381470e-02
2.082768884333004422e+01,6.294119523378285085e-03,-9.479053318500518799e-03
1.283073615018069269e+00,2.662554565836577347e-01,-5.015634000301361084e-03
1.931942271638635589e+01,-3.167826523144597062e-02,-9.902201592922210693e-03
1.662758664260491059e+01,3.650875397838411474e-02,-1.077213883399963379e-02
1.118630710824903041e+01,5.034554063447860273e-02,-1.311624795198440552e-02
9.091493043049462486e+00,-6.831440225699908497e-02,-1.430987566709518433e-02
6.321101441823032019e+00,8.475484851931770758e-02,-1.619648933410644531e-02
1.290929167687567514e+01,-7.381014199823092078e-03,-1.227094978094100952e-02
6.300153301171035558e+00,8.519023387118269952e-02,-1.621156185865402222e-02
1.102395901819606294e+01,4.633518863284383227e-02,-1.320187002420425415e-02
4.037754110755502168e+00,-1.715564959527308420e-01,-1.731680333614349365e-02
1.827725271969957044e+00,4.515517694293071788e-02,-1.083752512931823730e-02
1.251651404040075688e+00,2.800849653083888335e-01,-4.575461149215698242e-03
1.781115658944266400e+01,8.789194948162616303e-03,-1.037025451660156250e-02
1.032743334151720660e+01,9.503070595869104673e-03,-1.358180493116378784e-02
2.004737060404320559e+01,-2.012232194103933530e-02,-9.692631661891937256e-03
1.682659397879886853e+01,3.599157696739536255e-02,-1.070230454206466675e-02
1.418189122148441328e+01,-4.328073665290323863e-02,-1.171299070119857788e-02
1.125962560053101491e+01,5.149106942650489432e-02,-1.307795941829681396e-02
1.909946723954039882e+01,-3.075617610862741921e-02,-9.967572987079620361e-03
2.212647356375377683e+01,2.705068116584987900e-02,-9.147629141807556152e-03
7.195686314043851617e+00,2.653295144036845604e-02,-1.556897908449172974e-02
5.221324057593258239e+00,2.111178830952071400e-02,-1.694653928279876709e-02
2.365045079618646184e+01,-1.150061029627355048e-02,-8.794389665126800537e-03
5.917849735022114865e-01,5.947401436810532127e-01,7.670626044273376465e-03
1.648618669320393693e+01,3.560727764215068647e-02,-1.082235574722290039e-02
1.729269010830577358e+01,2.725985579673722778e-02,-1.054237782955169678e-02
1.191949203106887900e+01,4.358942325334031614e-02,-1.274286955595016479e-02
3.875406021452535432e-01,7.096177652207092956e-01,1.232700794935226440e-02
8.300700733436624290e+00,-6.321304709801396637e-02,-1.481420546770095825e-02
2.610138325246995805e+01,6.013204087741937272e-03,-8.299179375171661377e-03
1.313972122404762821e+01,-1.954340182111541022e-02,-1.216600090265274048e-02
4.184391095319472065e+00,-1.492206152559708010e-01,-1.732679456472396851e-02
2.079626663235205086e+01,5.216863951652666795e-03,-9.487457573413848877e-03
2.296439918983360329e+01,9.419708910438490818e-03,-8.948817849159240723e-03
4.194865165645469851e+00,-1.475479922981327296e-01,-1.732663810253143311e-02
2.589713888111300122e+01,3.486998758759034928e-04,-8.337274193763732910e-03
1.696799392894984049e+00,9.449326571998749313e-02,-9.712994098663330078e-03
2.382850999247842605e+00,-1.255686529051275868e-01,-1.424349099397659302e-02
2.587095370604800770e+00,-1.694689473037605809e-01,-1.507571339607238770e-02
7.708915760017746699e+00,-2.207939937524765542e-02,-1.521153002977371216e-02
1.578966101652508058e+01,1.697769090264397360e-02,-1.107677072286605835e-02
2.162895522326887843e+01,2.610186059638594513e-02,-9.271182119846343994e-03
2.267636225586866416e+01,1.751360467203530447e-02,-9.015880525112152100e-03
2.061297040164708605e+01,-1.231690675080993188e-03,-9.536735713481903076e-03
8.175011889524650854e+00,-5.677851269179214760e-02,-1.489716768264770508e-02
1.231750670345679843e+01,2.594770302325003289e-02,-1.254883408546447754e-02
9.421426258318392755e+00,-5.370726195674269121e-02,-1.410850137472152710e-02
7.562278775453776802e+00,-8.646388643753248268e-03,-1.531253755092620850e-02
9.761833543913324363e+00,-3.181689252867499207e-02,-1.390615105628967285e-02
4.692383506130367365e+00,-6.236165408465160764e-02,-1.721530407667160034e-02
7.829367568766722130e+00,-3.240786379790290550e-02,-1.512932032346725464e-02
6.923360485567908285e+00,5.097077099532758282e-02,-1.576270163059234619e-02
2.013640020181418677e+01,-1.748351592111613284e-02,-9.667731821537017822e-03
2.256114748228268496e+01,2.027224391646598178e-02,-9.043067693710327148e-03
8.866300531040508304e+00,-7.309422169226936772e-02,-1.445036381483078003e-02
6.085434859488080939e+00,8.613390226736675204e-02,-1.636572927236557007e-02
9.709463192283333655e+00,-3.549057633270755879e-02,-1.393691450357437134e-02
1.222847710568581547e+01,3.047399639379553757e-02,-1.259171962738037109e-02
2.487067998916521105e+01,-2.304545432234128555e-02,-8.537150919437408447e-03
1.228608449247880330e+01,2.757511585373225577e-02,-1.256395131349563599e-02
2.036159271382313918e+01,-1.010496424324138637e-02,-9.605295956134796143e-03
1.100301087754406915e+01,4.567291614359007823e-02,-1.321297883987426758e-02
1.405096534240944095e+01,-4.384825764505771023e-02,-1.176805794239044189e-02
1.201375866400286085e+01,4.008831465554968387e-02,-1.269639283418655396e-02
3.854457880050540020e+00,-1.958868970645817886e-01,-1.726860553026199341e-02
1.670614217079989583e+00,1.046944521281053114e-01,-9.469680488109588623e-03
1.152147735868096134e+01,5.216764134675671433e-02,-1.294293254613876343e-02
1.031695927194121065e+00,3.794425107857269941e-01,-1.120634377002716064e-03
1.372103212714050713e+01,-4.052641287275360327e-02,-1.190911978483200073e-02
2.545199089225809175e+01,-1.191297584212418215e-02,-8.422181010246276855e-03
1.492555021538026105e+00,1.766609634959763198e-01,-7.633686065673828125e-03
2.230453275929573920e+01,2.504917640595863762e-02,-9.104393422603607178e-03
6.472975461550000809e+00,7.990432834920295491e-02,-1.608687639236450195e-02
1.810966759373360446e+01,-3.343506157198620436e-03,-1.027385145425796509e-02
2.457216898487427059e+01,-2.487001118495534360e-02,-8.598081767559051514e-03
3.634502403204584731e+00,-2.181101181638677999e-01,-1.714762300252914429e-02
2.403799139824838349e+01,-2.032136101814316018e-02,-8.710294961929321289e-03
1.328635820861159722e+01,-2.637411243431867294e-02,-1.210016757249832153e-02
1.737124563575075697e+01,2.491080833398268829e-02,-1.051589846611022949e-02
4.022043005266505489e+00,-1.738137131849145922e-01,-1.731429249048233032e-02
1.534451302842017473e+00,1.593457701450116670e-01,-8.095629513263702393e-03
2.906554515547735029e+00,-2.151876016157295568e-01,-1.604434102773666382e-02
2.157658487238888867e+00,-6.471582296949933422e-02,-1.308995485305786133e-02
4.147731849178478925e+00,-1.550007681016767336e-01,-1.732644438743591309e-02
4.922813054052320170e-01,6.488187096309400159e-01,9.916856884956359863e-03
1.105538122917405808e+01,4.726741722597899154e-02,-1.318519562482833862e-02
2.064962964778808185e+01,7.258019865842766619e-05,-9.526826441287994385e-03
2.045585934675711925e+01,-6.816347005793038302e-03,-9.579442441463470459e-03
2.015734834246618234e+01,-1.683600854082414194e-02,-9.661853313446044922e-03
2.922265621036731709e+00,-2.167033940608082687e-01,-1.608291268348693848e-02
2.182272552429983747e+01,2.764603692776142554e-02,-9.222537279129028320e-03
2.534725018974811395e+00,-1.592808492211999216e-01,-1.487975567579269409e-02
8.206434100502644213e+00,-5.852119882419692942e-02,-1.487636566162109375e-02
2.180177738364784545e+01,2.755116881162601727e-02,-9.227789938449859619e-03
1.511932051566121871e+01,-1.395818451886024318e-02,-1.133336871862411499e-02
1.218658082438182433e+01,3.250634584686352274e-02,-1.261205226182937622e-02
1.225466228150080994e+01,2.917058853097585780e-02,-1.257907599210739136e-02
1.942940045480933264e+01,-3.131431945188942884e-02,-9.869888424873352051e-03
7.866026814907713494e+00,-3.539182089956692534e-02,-1.510442048311233521e-02
1.636573488445496238e+01,3.401068057868701644e-02,-1.086548715829849243e-02
1.212373640242583761e+01,3.542147573248086850e-02,-1.264256983995437622e-02
6.556768024157983099e+00,7.603335086749840599e-02,-1.602637022733688354e-02
1.936131899769034703e+01,-3.160387722702721197e-02,-9.889863431453704834e-03
2.231500682962174054e+01,2.489592792425266918e-02,-9.101890027523040771e-03
6.530582848342988633e+00,7.732894435953621692e-02,-1.604528725147247314e-02
2.116809612892497228e+01,1.688587509750109211e-02,-9.389378130435943604e-03
2.376042853460944215e+01,-1.437787844952816488e-02,-8.770287036895751953e-03
1.412952086985442435e+01,-4.363452502491754065e-02,-1.173495501279830933e-02
3.508813559292611295e+00,-2.266514844051032429e-01,-1.704195886850357056e-02
1.119154414341202930e+01,5.044123508920998755e-02,-1.311350613832473755e-02
1.437566152251537055e+01,-4.055468241797092338e-02,-1.163244247436523438e-02
7.745575006158738063e+00,-2.530117358246459711e-02,-1.518642902374267578e-02
2.162371818810587953e+01,2.603963080148960843e-02,-9.272478520870208740e-03
8.358308120229612115e+00,-6.567094087063188312e-02,-1.477641612291336060e-02
2.198507361435280671e+01,2.778365878944170225e-02,-9.182319045066833496e-03
1.047407032683117745e+00,3.721986608085241510e-01,-1.389481127262115479e-03
8.374019225718610571e+00,-6.628599335425096328e-02,-1.476614922285079956e-02
1.305592866143964592e+01,-1.529078793391484836e-02,-1.220396906137466431e-02
1.828248975411256794e+01,-1.009335027051833783e-02,-1.021890342235565186e-02
