# Time, Target, Prediction
1.867526739146369508e+01,-1.629918136378208371e-02,-1.034766435623168945e-02
2.226787351322053965e+01,2.352832763065847155e-02,-1.036888360977172852e-02
1.004463344298661198e+01,-2.025571037151328857e-02,-1.155796647071838379e-02
2.152945155525010890e+01,1.920712071676095381e-02,-1.036003232002258301e-02
7.703678725165461039e+00,-8.492076162675651907e-03,-1.307809352874755859e-02
4.865205666867780110e+00,-5.682310495204043188e-02,-1.642528176307678223e-02
1.003415937266079005e+01,-2.092464534770372211e-02,-1.156267523765563965e-02
2.092195547635245134e+01,3.941953885750964538e-03,-1.035392284393310547e-02
5.917849734612861567e+00,5.976088360895200763e-02,-1.501834392547607422e-02
9.023411586218996305e+00,-6.438401475756251602e-02,-1.209731400012969971e-02
1.248509182890306768e+01,2.118286257935405106e-02,-1.079931855201721191e-02
2.199554768474917310e+01,2.410876470201437152e-02,-1.036545634269714355e-02
4.608590948597536818e-01,5.725976331782988149e-01,-6.369324028491973877e-02
9.311448520179093080e+00,-5.820757585055049560e-02,-1.192799210548400879e-02
7.478486213160294938e+00,9.984384389626156653e-03,-1.328280568122863770e-02
1.660140147166338842e+00,1.704688833415868576e-01,-2.578639984130859375e-02
1.456943182374158852e+01,-3.450591430797558118e-02,-1.050761342048645020e-02
1.390956539321481955e+01,-3.603486053326998562e-02,-1.057644188404083252e-02
5.058975967895481318e+00,-2.865863686201783680e-02,-1.616087555885314941e-02
1.088779610421525845e+01,2.914849184567298856e-02,-1.122508943080902100e-02
1.832962312254786119e-01,6.354201123096009374e-01,-7.864616066217422485e-02
3.514050594836780395e+00,-1.995876841767633414e-01,-1.818552613258361816e-02
1.252175107504344531e+01,1.949585381863578465e-02,-1.079201698303222656e-02
8.562552491882840400e+00,-5.984612719708979484e-02,-1.239967346191406250e-02
1.976457070534915417e+01,-2.559556620864113924e-02,-1.034665107727050781e-02
8.248330382108189696e+00,-4.650468237184647580e-02,-1.262971758842468262e-02
1.164716620283733128e+01,4.468171635399529468e-02,-1.099410653114318848e-02
2.948450797242408328e+00,-1.669848946817739099e-01,-1.898047327995300293e-02
4.912338983333977893e+00,-4.985149178720831714e-02,-1.636099815368652344e-02
7.436589931857008118e+00,1.343232400142788628e-02,-1.332217454910278320e-02
1.319732861105894450e+01,-1.325565349912675647e-02,-1.067335903644561768e-02
5.608864660001120050e+00,3.712888601872042782e-02,-1.541981101036071777e-02
1.471606880830309017e+01,-3.120411444598686357e-02,-1.049466431140899658e-02
1.859147482885712321e+01,-1.390971696770071896e-02,-1.034817099571228027e-02
3.864931950751806955e+00,-1.845626759547943918e-01,-1.774536073207855225e-02
1.176761801158428078e+01,4.364951878927155610e-02,-1.096253097057342529e-02
2.875132304961656615e+00,-1.570961134425384043e-01,-1.910854876041412354e-02
2.248259195489988471e+01,2.133003639517258923e-02,-1.037168502807617188e-02
