# Time, Target, Prediction
1.867526739146369508e+01,-2.591034625613096790e-02,-1.442165672779083252e-02
2.226787351322053965e+01,3.497907141605734183e-02,-1.443476974964141846e-02
1.004463344298661198e+01,-4.027740703317590765e-02,-1.565153896808624268e-02
2.152945155525010890e+01,2.824064451853995281e-02,-1.442740857601165771e-02
7.703678725165461039e+00,-2.700031194578012342e-02,-1.716771721839904785e-02
4.865205666867780110e+00,-1.093084376718132245e-01,-2.044315636157989502e-02
1.003415937266079005e+01,-4.130835923267937859e-02,-1.565626263618469238e-02
2.092195547635245134e+01,5.015105424882071970e-03,-1.442261040210723877e-02
5.917849734612861567e+00,7.054788596596403560e-02,-1.908361911773681641e-02
9.023411586218996305e+00,-1.088485136383423452e-01,-1.619073748588562012e-02
1.248509182890306768e+01,2.665626707504303167e-02,-1.488915085792541504e-02
2.199554768474917310e+01,3.578098161753412443e-02,-1.443187892436981201e-02
4.608590948597536818e-01,8.567586636387651833e-01,-6.152238696813583374e-02
9.311448520179093080e+00,-9.899480133099053392e-02,-1.602163910865783691e-02
7.478486213160294938e+00,3.722997812152001491e-04,-1.737107336521148682e-02
1.660140147166338842e+00,2.415755936687600247e-01,-2.808997035026550293e-02
1.456943182374158852e+01,-5.577177466327995492e-02,-1.459236443042755127e-02
1.390956539321481955e+01,-5.849136407040031460e-02,-1.466287672519683838e-02
5.058975967895481318e+00,-6.615349088575434022e-02,-2.019117772579193115e-02
1.088779610421525845e+01,3.602296073133076648e-02,-1.531779766082763672e-02
1.832962312254786119e-01,9.524948899954454040e-01,-7.514750212430953979e-02
3.514050594836780395e+00,-3.264541700140953795e-01,-2.201250195503234863e-02
1.252175107504344531e+01,2.415343047764709206e-02,-1.488177478313446045e-02
8.562552491882840400e+00,-1.028319888551158245e-01,-1.649241149425506592e-02
1.976457070534915417e+01,-3.980939046895493050e-02,-1.441803574562072754e-02
8.248330382108189696e+00,-8.327425033376428809e-02,-1.672165095806121826e-02
1.164716620283733128e+01,6.090134527854073471e-02,-1.508560776710510254e-02
2.948450797242408328e+00,-2.757814386774281035e-01,-2.261415123939514160e-02
4.912338983333977893e+00,-9.863457930513895577e-02,-2.038209140300750732e-02
7.436589931857008118e+00,5.475732447047861051e-03,-1.741012930870056152e-02
1.319732861105894450e+01,-2.461444772405096959e-02,-1.476156711578369141e-02
5.608864660001120050e+00,3.519343323717959160e-02,-1.947546005249023438e-02
1.471606880830309017e+01,-5.069376382874938441e-02,-1.457904279232025146e-02
1.859147482885712321e+01,-2.231751528689470201e-02,-1.442235708236694336e-02
3.864931950751806955e+00,-3.039704779395303036e-01,-2.164742350578308105e-02
1.176761801158428078e+01,5.954567912174982963e-02,-1.505380868911743164e-02
2.875132304961656615e+00,-2.605603476834607579e-01,-2.270779013633728027e-02
2.248259195489988471e+01,3.171217051476429849e-02,-1.443712413311004639e-02
1.384148393609697969e+01,-5.676914475465567184e-02,-1.467122137546539307e-02
5.367961042507221947e+00,-4.104668503947200495e-03,-1.978753507137298584e-02
1.925134125938388863e+01,-4.168305281634680781e-02,-1.441857218742370605e-02
6.294916266342442057e+00,8.837150278470959353e-02,-1.862469315528869629e-02
2.518490209896188503e+01,-2.756461468244326279e-02,-1.447160542011260986e-02
2.222074019675434187e+01,3.539321290808848663e-02,-1.443424820899963379e-02
4.184391095689369067e+00,-2.561255542350865944e-01,-2.128817141056060791e-02
2.380756185111632917e+01,-1.591377556519787961e-02,-1.445333659648895264e-02
1.993739286572520797e+01,-3.585900481051642469e-02,-1.441822946071624756e-02
2.374471742916139760e+01,-1.363560812001385347e-02,-1.445251703262329102e-02
2.535248722417502876e+01,-2.346928634852876033e-02,-1.447387039661407471e-02
9.740885408250171684e-01,6.186200794914727963e-01,-4.173769056797027588e-02
6.336812552358117578e-01,7.842464349194868678e-01,-5.396082252264022827e-02
1.718271237003410334e+01,4.165229105004029236e-02,-1.444663107395172119e-02
2.339383607324636927e+01,3.117594913383999193e-04,-1.444803178310394287e-02
2.516919099347314770e+01,-2.789714445626876801e-02,-1.447136700153350830e-02
4.315316974762140489e+00,-2.310513466378515401e-01,-2.113302052021026611e-02
1.484175765221295151e+01,-4.528005654536747943e-02,-1.456820964813232422e-02
1.954461522850689548e+01,-4.250457046809472117e-02,-1.441803574562072754e-02
1.246414368825142560e+01,2.806391860464667320e-02,-1.489339768886566162e-02
1.392527649870355333e+01,-5.883626066095232893e-02,-1.466099917888641357e-02
1.349583961534486320e+01,-4.268621932572894129e-02,-1.471704244613647461e-02
2.133044421905949761e+01,2.194374509230729783e-02,-1.442570984363555908e-02
8.290226663411477404e+00,-8.654320306684426534e-02,-1.668991148471832275e-02
9.175285605943409806e+00,-1.048672409940696465e-01,-1.609981060028076172e-02
5.415094358973418842e+00,4.302834418958292710e-03,-1.972620189189910889e-02
5.655997976467317834e+00,4.174028606632960992e-02,-1.941494643688201904e-02
1.419236529201200625e+01,-6.161582736270052041e-02,-1.463045179843902588e-02
8.138352643687062127e+00,-7.382633913971593798e-02,-1.680664718151092529e-02
1.599914242321624869e+01,2.267272838774945370e-02,-1.449160277843475342e-02
1.141673666038164336e+00,5.291272119088027415e-01,-3.712362051010131836e-02
1.456419478857867666e+01,-5.592628079241263039e-02,-1.459287106990814209e-02
7.541330635115224723e+00,-7.309033473971843914e-03,-1.731318235397338867e-02
1.192996610163451976e+01,5.554607712766233135e-02,-1.501296460628509521e-02
8.714426511607255676e+00,-1.078847231040190036e-01,-1.638858020305633545e-02
1.850244523108763772e+01,-1.823426795736127551e-02,-1.442320644855499268e-02
2.534201315384920861e+01,-2.375284416897721976e-02,-1.447370648384094238e-02
1.487841689835332737e+01,-4.353673967215489216e-02,-1.456516981124877930e-02
1.800492689061110596e+01,7.434832351615776151e-03,-1.442940533161163330e-02
2.504350214956329168e+01,-3.020920171039994870e-02,-1.446969807147979736e-02
1.351155072554598435e+00,4.133228776101450785e-01,-3.260378539562225342e-02
3.016532254360249077e+00,-2.881090541943336913e-01,-2.253279089927673340e-02
2.052394080397122522e+01,-1.353246947082386610e-02,-1.442027091979980469e-02
1.613530533745193196e+01,2.926759828043207917e-02,-1.448495686054229736e-02
2.524774652091681659e+01,-2.614323565642398539e-02,-1.447243988513946533e-02
3.896354161729272292e+00,-3.002787031545505747e-01,-2.161331474781036377e-02
2.211599949349612260e+01,3.590423935508647163e-02,-1.443313062191009521e-02
2.081721477309423207e+01,1.625981743439492073e-04,-1.442192494869232178e-02
8.106930432709596346e+00,-7.091064151181489250e-02,-1.683138310909271240e-02
1.015461118140773955e+01,-2.936456106185031042e-02,-1.560284197330474854e-02
8.950093093938242816e+00,-1.097420287960052254e-01,-1.623611152172088623e-02
4.896627877845245003e+00,-1.021833473317398100e-01,-2.040246129035949707e-02
2.728495320400152302e+00,-2.241173271313561532e-01,-2.292074263095855713e-02
2.576621300204498866e+01,-1.006528670091436269e-02,-1.447941362857818604e-02
1.114441082719789122e+01,5.072467461684684181e-02,-1.523280143737792969e-02
1.785305287088669246e+01,1.533926010755111424e-02,-1.443189382553100586e-02
1.640763116592329496e+01,3.944839177815646220e-02,-1.447288691997528076e-02
2.375519149948722131e+01,-1.402170933857136044e-02,-1.445265114307403564e-02
1.717747533958358108e+00,2.102108641383912124e-01,-2.747957408428192139e-02
1.009176675945280977e+01,-3.561620150044542826e-02,-1.563046872615814209e-02
2.267112522076467584e+01,2.714053594505460437e-02,-1.443926990032196045e-02
1.167335137865188699e+01,6.072790958864254102e-02,-1.507858932018280029e-02
