# Time, Target, Prediction
3.126509992435356100e+00,6.183231529784531944e-01,1.183343082666397095e-01
3.011033366978729831e+01,-4.030157508955466150e-02,8.320158720016479492e-02
3.798945307251917569e+01,-3.330804339334789144e-02,8.420526981353759766e-02
3.591558714797159979e+01,1.739043387808836705e-04,8.396665751934051514e-02
4.996131545625971171e+00,3.224960133191537986e-02,1.126558631658554077e-01
1.999238173487338344e+01,2.232893784775875912e-02,8.261916041374206543e-02
9.120296736487622624e+00,1.312243237154908648e-01,9.555667638778686523e-02
1.751788262035639221e+01,8.169731791371985519e-02,8.327464759349822998e-02
1.162621806310760508e+00,9.940170542178020652e-01,1.108925938606262207e-01
1.987454844370590834e+01,2.874175690149918458e-02,8.263684809207916260e-02
3.197209967023341193e+01,3.490981135053015418e-03,8.345624804496765137e-02
9.905852010937460150e+00,1.728701170216239147e-01,9.326246380805969238e-02
3.677969794986642427e+01,-2.252633930769448387e-02,8.406896889209747314e-02
2.615899064042961353e+00,7.842498464966549676e-01,1.182337403297424316e-01
7.117130786640534446e+00,-8.563943040319195454e-02,1.029951572418212891e-01
2.490210220018486709e+01,3.850771142745829795e-02,8.258034288883209229e-02
3.794231975717718974e+00,3.840566525738997039e-01,1.171332299709320068e-01
2.219193650333292567e+01,-4.992977870267203272e-02,8.246310055255889893e-02
1.396717277984312489e+01,-6.279020042018673697e-02,8.583450317382812500e-02
1.937179306805801104e+01,5.471004404039899599e-02,8.272553980350494385e-02
1.249032886500242912e+00,9.982981722831245630e-01,1.116818487644195557e-01
1.227822893977597296e+01,4.097314952684415201e-02,8.815369009971618652e-02
3.157932203413349903e+00,6.074607129768567759e-01,1.183083653450012207e-01
3.344894358619911401e+01,3.895685855227856015e-02,8.365429937839508057e-02
3.751026435510477341e+01,-3.278820376150909377e-02,8.415229618549346924e-02
8.601830255350728649e+00,8.029722848511118560e-02,9.725949168205261230e-02
2.399085808182305968e+01,2.835389350794530802e-03,8.251437544822692871e-02
3.352749911364409741e+01,3.966253667606253058e-02,8.366464078426361084e-02
2.915195623495849375e+01,-3.188470974367601379e-02,8.307164907455444336e-02
3.558565393382767006e+00,4.665694631613197529e-01,1.177008897066116333e-01
3.208993296140089058e+01,7.316278377939890165e-03,8.347226679325103760e-02
