# Time, Target, Prediction
2.942597639939158238e+00,6.183231529784531944e-01,1.195518821477890015e-01
2.833913757156451396e+01,-4.030157508955466150e-02,8.254890143871307373e-02
3.575477936237098220e+01,-3.330804339334789144e-02,8.358770608901977539e-02
3.380290555103209016e+01,1.739043387808836705e-04,8.332785964012145996e-02
4.702241454706795665e+00,3.224960133191537986e-02,1.145560443401336670e-01
1.881635927988082813e+01,2.232893784775875912e-02,8.237379044294357300e-02
8.583808693164819204e+00,1.312243237154908648e-01,9.718666970729827881e-02
1.648741893680601578e+01,8.169731791371985519e-02,8.330111205577850342e-02
1.094232288292480426e+00,9.940170542178020652e-01,1.118429750204086304e-01
1.870545735878202720e+01,2.874175690149918458e-02,8.240233361721038818e-02
3.009138792492556291e+01,3.490981135053015418e-03,8.279795944690704346e-02
9.323154833823490861e+00,1.728701170216239147e-01,9.472082555294036865e-02
3.461618630575662792e+01,-2.252633930769448387e-02,8.343837410211563110e-02
2.462022648511021927e+00,7.842498464966549676e-01,1.192512959241867065e-01
6.698476034485207897e+00,-8.563943040319195454e-02,1.049784272909164429e-01
2.343727265899751799e+01,3.850771142745829795e-02,8.203174173831939697e-02
3.571041859499028970e+00,3.840566525738997039e-01,1.186344474554061890e-01
2.088652847372510379e+01,-4.992977870267203272e-02,8.204881846904754639e-02
1.314557438102882081e+01,-6.279020042018673697e-02,8.642911165952682495e-02
1.823227582876047848e+01,5.471004404039899599e-02,8.253949135541915894e-02
1.175560363764934335e+00,9.982981722831245630e-01,1.126030683517456055e-01
1.155598017861267834e+01,4.097314952684415201e-02,8.908922970294952393e-02
2.972171485565505478e+00,6.074607129768567759e-01,1.195392012596130371e-01
3.148135866936386407e+01,3.895685855227856015e-02,8.299917727708816528e-02
3.530377821656919224e+01,-3.278820376150909377e-02,8.352933824062347412e-02
8.095840240330096194e+00,8.029722848511118560e-02,9.899728000164031982e-02
2.257963113583346271e+01,2.835389350794530802e-03,8.200314640998840332e-02
3.155529328342973017e+01,3.966253667606253058e-02,8.300985395908355713e-02
2.743713527996093049e+01,-3.188470974367601379e-02,8.242703974246978760e-02
3.349238017301427561e+00,4.665694631613197529e-01,1.191030889749526978e-01
3.020228984602436029e+01,7.316278377939890165e-03,8.281400799751281738e-02
2.854615449094893975e+01,-3.863080360789671736e-02,8.257764577865600586e-02
3.245729557503330653e+01,3.608374487750466708e-02,8.313924074172973633e-02
1.406236359544557324e+01,-5.178131666567181018e-02,8.528798818588256836e-02
1.783302891280479585e+01,7.264010975326319619e-02,8.267609775066375732e-02
1.006989443588874877e+01,1.637169929116916167e-01,9.255191683769226074e-02
2.792510373279565883e+01,-3.960405124009421657e-02,8.249218016862869263e-02
2.653513298835735412e+01,-2.212512417464466020e-03,8.231295645236968994e-02
2.881231910158606269e+01,-3.464318967171944874e-02,8.261498063802719116e-02
2.521909685798491552e+01,4.608016913233246858e-02,8.216735720634460449e-02
2.687523221306034316e+01,-1.512640778835737908e-02,8.235487341880798340e-02
1.885332658691376295e+01,2.018667211273549034e-02,8.236455917358398438e-02
3.432784131089974267e+01,-1.539509994358064481e-02,8.339953422546386719e-02
1.161512786986537016e+01,3.524691146398937353e-02,8.897248655557632446e-02
4.495224535322368098e+00,8.374582981377767799e-02,1.154561191797256470e-01
1.605859817522398458e+01,6.555641583941296258e-02,8.356235921382904053e-02
4.990586449563677363e+00,-2.721727411868358690e-02,1.132340133190155029e-01
3.086770137261716584e+01,2.768898566990808663e-02,8.291039615869522095e-02
2.779941488994250864e+00,6.770323190569375038e-01,1.195600479841232300e-01
2.224692537253705993e+01,-1.223221763082629927e-02,8.200038224458694458e-02
2.884189294721240771e+01,-3.408132740897595186e-02,8.261914551258087158e-02
2.765154566075194609e+01,-3.615998096874503687e-02,8.245542645454406738e-02
9.907238286002664207e-01,9.846407093763539509e-01,1.108054220676422119e-01
1.222878516661206838e+01,-1.850497716973142220e-02,8.784639835357666016e-02
1.386274013746773193e+01,-5.855889584118928459e-02,8.551514893770217896e-02
3.211719635033031750e+01,4.003055706869326769e-02,8.309066295623779297e-02
3.940714929828364355e+00,2.528210181397961276e-01,1.175669729709625244e-01
3.521505667969015718e+01,-3.208374783989063200e-02,8.351776003837585449e-02
1.640609086133355987e+01,7.929122745932239147e-02,8.334812521934509277e-02
2.126359500546102765e+01,-4.554939312143109487e-02,8.202469348907470703e-02
1.560759702942219640e+01,4.085022180628646027e-02,8.387465775012969971e-02
6.898099492463049209e+00,-6.664305975531825688e-02,1.040573716163635254e-01
1.948916426788021639e+01,-1.482760744626556576e-02,8.222740888595581055e-02
2.253527036739394163e+01,8.032882880804525973e-04,8.200248330831527710e-02
3.248686942065965866e+01,3.560428903965492248e-02,8.314346522092819214e-02
3.430566092773881248e+00,4.361358619375013124e-01,1.189479082822799683e-01
1.514180896080723215e+01,1.057094677979308721e-02,8.424137532711029053e-02
2.067211809293408820e+01,-4.975379237399783078e-02,8.206669241189956665e-02
3.344062594210934236e+01,1.155977849509020466e-02,8.327770978212356567e-02
1.505308742392819177e+01,4.629555586022778522e-03,8.431670069694519043e-02
2.816908796027184358e+00,6.638656975501078250e-01,1.195675581693649292e-01
2.910066409644294083e+01,-2.826006061068433994e-02,8.265577256679534912e-02
6.373163732595392261e+00,-1.081373432055886402e-01,1.065173000097274780e-01
2.732623335886212956e+01,-2.916952385541275033e-02,8.241255581378936768e-02
4.192092617652312114e+00,1.711317048762667770e-01,1.166735142469406128e-01
9.471024061955224838e+00,1.751223844267307539e-01,9.426645934581756592e-02
7.408248329517531872e+00,-6.635508108859216811e-03,1.017988175153732300e-01
1.020297674226613216e+00,9.877786855720321890e-01,1.111101657152175903e-01
2.680129759899447706e+01,-1.244809712733637580e-02,8.234562724828720093e-02
2.382173265214002811e+01,4.936871400577755309e-02,8.205325901508331299e-02
2.133752961952689375e+01,-4.403438414396349670e-02,8.202098309993743896e-02
2.277186113346354013e+00,8.400052605293247820e-01,1.188554912805557251e-01
2.608413184255556416e+01,1.609366104787312082e-02,8.225981891155242920e-02
2.247612267720007218e+00,8.483669760015004613e-01,1.187764257192611694e-01
9.389695986482770707e+00,1.741411370287120619e-01,9.451478719711303711e-02
6.040457969298990371e+00,-1.173536081242689544e-01,1.081286072731018066e-01
8.118020624549856734e+00,8.290512649764487929e-02,9.891177713871002197e-02
9.825910209471386381e+00,1.721824629038028742e-01,9.322656691074371338e-02
1.452815166406053571e+01,-2.876507082302775034e-02,8.480027318000793457e-02
2.649077221991783304e+01,-4.395085924600623133e-04,8.230757713317871094e-02
2.228389267956999120e+01,-1.059330015047687222e-02,8.200044184923171997e-02
5.101488370662478289e+00,-4.611197761789809224e-02,1.127096563577651978e-01
3.088988175683692816e+01,2.824773708051656063e-02,8.291360735893249512e-02
3.711517626224176247e+00,3.329719007277195941e-01,1.182676255702972412e-01
2.151497269434380133e+00,8.743546474695388371e-01,1.184884011745452881e-01
2.165544846001012402e+01,-3.536695334010901692e-02,8.200870454311370850e-02
2.080520039825265144e+01,-5.009755816078576007e-02,8.205524832010269165e-02
3.115604636747404754e+01,3.412217347873985202e-02,8.295214176177978516e-02
2.093088924216462487e+01,-4.971887183231396556e-02,8.204551786184310913e-02
8.421152542219910941e+00,1.159309001994212190e-01,9.777382016181945801e-02
7.016394874968436390e+00,-5.393495107728075999e-02,1.035209745168685913e-01
1.019558327980072221e+01,1.574959255276405790e-01,9.221677482128143311e-02
3.539249975344823440e+01,-3.329594364188650374e-02,8.354090899229049683e-02
3.032797868993633728e+01,1.156521000713445387e-02,8.283215761184692383e-02
6.587574113386407859e+00,-9.460941612285135582e-02,1.054981201887130737e-01
2.790292334857589651e+01,-3.941215728568839283e-02,8.248919993638992310e-02
2.722272489916991844e+01,-2.634875951496592691e-02,8.239910006523132324e-02
1.128242210656897093e+01,6.783516896041992539e-02,8.964885771274566650e-02
3.094163598668303194e+01,2.951222838330233231e-02,8.292111009359359741e-02
1.356700168120426220e+01,-6.435744804684984111e-02,8.587293326854705811e-02
8.354611390619454125e-01,9.619198936550873436e-01,1.090881526470184326e-01
3.147396520795727781e+01,3.887804785201257746e-02,8.299811929464340210e-02
2.657210029539028540e+01,-3.678489431352191877e-03,8.231741935014724731e-02
1.083142096076717920e+01,1.106420795805161394e-01,9.064520895481109619e-02
1.072051903966838005e+01,1.203017382101618932e-01,9.090489149093627930e-02
1.857976851487005376e+01,3.592923557107752242e-02,8.243629336357116699e-02
3.167358866593512090e+01,4.047626454179715366e-02,8.302690088748931885e-02
2.818387488202619195e+01,-4.068091827476472827e-02,8.252748847007751465e-02
3.231681980830816059e+01,3.807202329454638379e-02,8.311923593282699585e-02
1.912688465895746859e+01,4.500761807607250864e-03,8.230068534612655640e-02
1.498654627126891015e+01,1.898625660427602502e-04,8.437432348728179932e-02
3.190278596953930901e+01,4.093371762546707537e-02,8.305992186069488525e-02
1.086838826780011225e+01,1.073209417903908947e-01,9.055995941162109375e-02
3.214677019595666962e+01,3.980703741237978655e-02,8.309491723775863647e-02
3.359588863164766082e+01,6.703003640509915852e-03,8.329926431179046631e-02
2.843525256985013883e+01,-3.968836642412723603e-02,8.256222307682037354e-02
1.582200741127203214e+00,9.825020166452748116e-01,1.157459467649459839e-01
1.822488236735389222e+01,5.508391334968217729e-02,8.254186809062957764e-02
3.573999243955780969e+01,-3.337197737842144407e-02,8.358576893806457520e-02
9.988566360416294643e+00,1.670868570763818228e-01,9.277322888374328613e-02
5.012766833783437015e+00,-3.117564523064716639e-02,1.131297498941421509e-01
3.595440282034882529e+01,-3.192413856095315666e-02,8.361319452524185181e-02
2.256484421302029020e+01,2.158018181361257004e-03,8.200292289257049561e-02
6.942460260902569402e+00,-6.199003152644946835e-02,1.038553714752197266e-01
3.844599931542737270e+00,2.858683845538492196e-01,1.178752332925796509e-01
2.698613413415914408e+01,-1.897097474568102543e-02,8.236885815858840942e-02
1.459469281671981733e+01,-2.483898515440127047e-02,8.473524451255798340e-02
3.302659210334048367e+01,2.365984294235576324e-02,8.321979641914367676e-02
1.592551586990542312e+01,5.896461979287955651e-02,8.365036547183990479e-02
2.430970110497475289e+01,5.611188556592525828e-02,8.208724111318588257e-02
1.638391047711380111e+01,7.857916521511393304e-02,8.336114883422851562e-02
1.049871519852960233e+00,9.905471279038305932e-01,1.114082485437393188e-01
2.578839338629209266e+01,2.768944909495739404e-02,8.222668617963790894e-02
3.053499560932076662e+01,1.824132746031820185e-02,8.286213874816894531e-02
1.721937161605810118e+01,8.801088578419877240e-02,8.292736858129501343e-02
1.258367131412822992e+01,-4.188948361585172198e-02,8.726211637258529663e-02
3.046106099525490052e+01,1.591287783853966020e-02,8.285145461559295654e-02
2.759979143090584230e+01,-3.525047853657654884e-02,8.244851976633071899e-02
2.857572833657528477e+01,-3.828692111197963543e-02,8.258178830146789551e-02
2.545568762299569343e+01,3.928046551304725104e-02,8.219124376773834229e-02
2.994351869785265130e+00,5.992835939400797951e-01,1.195275336503982544e-01
2.702310144119207536e+01,-2.020166923168219275e-02,8.237355947494506836e-02
3.082334060417764832e+01,2.654218822324579466e-02,8.290397375822067261e-02
3.068286483745249882e+01,2.266914871642053061e-02,8.288361877202987671e-02
2.203251499280487469e+00,8.605925842557952121e-01,1.186494082212448120e-01
5.434194133958880180e+00,-8.925934098698005970e-02,1.111024916172027588e-01
3.454225169169075826e+01,-2.082985525157893952e-02,8.342845737934112549e-02
