# Time, Target, Prediction
1.702036427982982758e+01,3.355574562202130046e-02,3.891928493976593018e-02
1.322351378665561228e+01,-2.355122454907717516e-02,-2.747667767107486725e-02
3.341228434076645826e+00,-2.326208673555794637e-01,-2.315127253532409668e-01
1.571110557233009949e-02,9.851018634703044841e-01,8.968399763107299805e-01
1.430234303023338782e+01,-4.184203673175995730e-02,-4.658000171184539795e-02
2.342525828417750944e+01,-4.955074803989828122e-03,-5.285249091684818268e-03
2.263446597456467302e+01,1.855503382852970520e-02,1.684920303523540497e-02
6.273968125356041092e+00,8.565134896713964829e-02,8.683148026466369629e-02
2.187509587592982641e+01,2.780605515729193608e-02,2.485815994441509247e-02
4.278657728253452142e+00,-1.338670796123174744e-01,-1.270809918642044067e-01
5.153242600474271740e+00,1.169574909295324414e-02,1.442268397659063339e-02
2.456693194971127525e+01,-2.487422989082345437e-02,-2.106216736137866974e-02
2.393325069498840563e+01,-1.832652859829383626e-02,-1.720085926353931427e-02
8.112167467568664136e+00,-5.303595681438302845e-02,-4.009581357240676880e-02
4.037754110755502168e+00,-1.715564959527308420e-01,-1.649109870195388794e-01
3.273146976957659327e+00,-2.331358603461641532e-01,-2.329454123973846436e-01
7.907923096961705367e-01,4.937774574022343321e-01,5.217300653457641602e-01
2.217360688022076687e+01,2.663478515670784225e-02,2.418106608092784882e-02
1.739743081156575144e+01,2.408233060068399115e-02,2.994654886424541473e-02
1.576871287587308679e+01,1.611842330698562420e-02,1.605208031833171844e-02
2.298534733048560241e+01,8.783258018600935413e-03,7.630481384694576263e-03
2.415320617183435914e+01,-2.212624609177003474e-02,-2.015929855406284332e-02
7.677493549039752452e+00,-1.926949586965890152e-02,-8.669332601130008698e-03
1.384148393588948167e+01,-4.252775586318813250e-02,-4.722213745117187500e-02
2.660413862886785274e+00,-1.824686630927921660e-01,-1.914643198251724243e-01
1.416618011599541482e+01,-4.340444437287110241e-02,-4.819656163454055786e-02
1.953937819323230940e+01,-3.041386616812151444e-02,-3.231045603752136230e-02
1.853386744193651481e+01,-1.885449440139518734e-02,-1.586966402828693390e-02
2.315293245570156344e+01,3.568658846994648623e-03,2.699150471016764641e-03
1.571110548983009947e+00,1.443799865616738620e-01,1.409442275762557983e-01
1.407191348306143475e+01,-4.382876254899423230e-02,-4.862272739410400391e-02
2.287013255689962321e+01,1.221860271726345031e-02,1.088189985603094101e-02
2.413749506634536246e+01,-2.190527933552054510e-02,-2.000229246914386749e-02
1.059975916999315082e+01,2.708706276762202700e-02,3.144786506891250610e-02
8.876774601366506090e+00,-7.297697031368789722e-02,-5.936641246080398560e-02
2.615375360409994698e+01,7.406747823345388379e-03,1.535747852176427841e-02
8.494471034467585113e+00,-7.019688022944210737e-02,-5.630066245794296265e-02
6.452027320898005236e+00,8.074406829191964341e-02,8.266963064670562744e-02
1.429710599507038715e+01,-4.192229955412921788e-02,-4.666357487440109253e-02
1.287786946589768178e+01,-5.626430514113515621e-03,-8.897804655134677887e-03
6.362997723127023164e+00,8.370991324683804691e-02,8.523076772689819336e-02
1.606722388016402192e+01,2.694839649637783760e-02,2.844276838004589081e-02
1.584203136815506952e+01,1.906754311457056414e-02,1.938017271459102631e-02
2.092195547626402430e+01,9.446803458810510562e-03,5.213110707700252533e-03
1.055786288868915967e+01,2.459635741534934444e-02,2.919217757880687714e-02
1.571110548908009719e+01,1.369212646656084789e-02,1.333276834338903427e-02
3.540235770270604210e+00,-2.248272285608604315e-01,-2.213783264160156250e-01
2.396990994112939788e+01,-1.906130599490347272e-02,-1.780391670763492584e-02
3.299332153522654409e-01,7.452648865115482080e-01,7.531607151031494141e-01
2.126236276185895591e+01,1.933539528090498852e-02,1.546684559434652328e-02
2.141947381674892270e+01,2.281032253309532923e-02,1.915658824145793915e-02
2.080150366751504976e+01,5.397191143038773502e-03,1.085682539269328117e-03
1.364247659969552373e+01,-3.874540984861021137e-02,-4.325885325670242310e-02
1.327588413828560121e+01,-2.591526460400872880e-02,-2.992742694914340973e-02
9.269552238591424853e+00,-6.143109190660313301e-02,-4.916184395551681519e-02
2.123617758604396144e+01,1.868065724842031886e-02,1.477844920009374619e-02
2.582382038883101671e+01,-1.729834437615265612e-03,6.607710383832454681e-03
1.903662281758441210e+01,-3.008922907671082725e-02,-2.959466166794300079e-02
3.561183910922600226e+00,-2.234936001002500450e-01,-2.198312282562255859e-01
4.917576018139321548e+00,-2.435917931859370514e-02,-2.026739902794361115e-02
2.511158360666316014e+01,-1.947180613555080445e-02,-1.310440246015787125e-02
1.330730634926359279e+01,-2.727732613377968976e-02,-3.133977949619293213e-02
4.650487224826375332e+00,-6.964516732596089110e-02,-6.406003236770629883e-02
1.986931140850124322e+01,-2.475104406503388435e-02,-2.790162153542041779e-02
4.912338982976321766e+00,-2.521151343897314392e-02,-2.108849771320819855e-02
1.853910447709951370e+01,-1.901899970258363534e-02,-1.605872996151447296e-02
2.514824285280415239e+01,-1.878383521706565931e-02,-1.225776318460702896e-02
2.052917783903910731e+01,-4.217507042129668357e-03,-8.551389910280704498e-03
1.630812749766197456e+01,3.298357442615698631e-02,3.570502996444702148e-02
1.157384771106095167e+00,3.221269476406858345e-01,3.355585336685180664e-01
1.916754869665938443e+01,-3.127740965903220982e-02,-3.143619000911712646e-02
1.843436377458953945e+00,3.943306926571675530e-02,2.941231243312358856e-02
8.641108019781553740e-01,4.582604375696208709e-01,4.841188490390777588e-01
3.037480395372708086e-01,7.620925263401207017e-01,7.657302618026733398e-01
3.718294966562568082e-01,7.191649062360332412e-01,7.328656315803527832e-01
1.050025550189617185e+01,2.103106455327270405e-02,2.595619671046733856e-02
6.001642296880097760e+00,8.468427777175491222e-02,8.524046838283538818e-02
1.285692132524568621e+01,-4.447782452154237613e-03,-7.675335742533206940e-03
1.489936503881526342e+01,-2.378013687322963476e-02,-2.745805867016315460e-02
8.311174803762622076e+00,-6.368342551333971979e-02,-5.009315162897109985e-02
2.064962964778808185e+01,7.258019865842766619e-05,-4.281313158571720123e-03
2.262399190423867523e+01,1.880876538987154289e-02,1.708648912608623505e-02
3.885880091028532934e+00,-1.920503146099117597e-01,-1.859572827816009521e-01
3.472154313151618599e+00,-2.285066213583081263e-01,-2.257965207099914551e-01
1.187235871460188896e+01,4.514943683504858696e-02,4.432678222656250000e-02
2.099527396854600880e+01,1.179802027315941110e-02,7.627188228070735931e-03
1.271552137584471431e+01,3.636257639131514584e-03,7.145691779442131519e-04
1.803634910145161996e+01,-3.804565589076687264e-04,4.589944146573543549e-03
2.042443714402912835e-01,8.303171839442369251e-01,8.125935792922973633e-01
1.611959423179401085e+01,2.848793456761003137e-02,3.025546483695507050e-02
6.059249683673085585e+00,8.579342455662311573e-02,8.642764389514923096e-02
2.026732608163916094e+00,-2.383451299652081246e-02,-3.599992394447326660e-02
1.239082519573878294e+01,2.204007417659062038e-02,1.987496577203273773e-02
2.293297697885561348e+01,1.036527574839141153e-02,9.128122590482234955e-03
1.539164634413716470e+01,-9.712581404978051390e-04,-2.842822344973683357e-03
7.049049329479881720e+00,4.009760972856742101e-02,4.598343372344970703e-02
6.960019731708899648e+00,4.788966731588754910e-02,5.309511721134185791e-02
1.875382291878247187e+01,-2.497464500311134122e-02,-2.305741794407367706e-02
1.709368277211181208e+01,3.216987713268699978e-02,3.768618404865264893e-02
1.557494257484212596e+01,7.642800027957236293e-03,6.612627767026424408e-03
8.777270933269525344e+00,-7.365900313676222722e-02,-5.986391752958297729e-02
2.316864356119056367e+01,3.073012723870336034e-03,2.231492428109049797e-03
9.934655704292287837e+00,-1.924531225619557570e-02,-1.079655531793832779e-02
1.365818770518452041e+01,-3.913103150246928508e-02,-4.366145282983779907e-02
1.529214267604018396e+01,-5.745404113885999552e-03,-8.038879372179508209e-03
1.925657829443036917e+01,-3.164017422490662118e-02,-3.223474323749542236e-02
1.234892891443479179e+01,2.429081155578802914e-02,2.222770266234874725e-02
2.434173943770232285e+01,-2.412637644103829415e-02,-2.135220356285572052e-02
2.388088034335841670e+01,-1.721169841759269403e-02,-1.626797951757907867e-02
1.378387654909649562e+01,-4.168231038930763493e-02,-4.633221775293350220e-02
2.389135441368441448e+01,-1.744063646980969703e-02,-1.646112091839313507e-02
6.033064507858091119e+00,8.535090694118301069e-02,8.594593405723571777e-02
2.151374044968290278e+01,2.449162315793846495e-02,2.097565494477748871e-02
1.288834353622368134e+01,-6.213166113080976008e-03,-9.506226517260074615e-03
1.477891323006628888e+01,-2.862608356973039142e-02,-3.262681514024734497e-02
2.482354667344822463e+00,-1.483494841137339426e-01,-1.594547331333160400e-01
1.242224740671677630e+01,2.032412373690879043e-02,1.808318309485912323e-02
1.749169744524973202e+00,7.441499996961181695e-02,6.620222330093383789e-02
2.033540753800814471e+01,-1.100274865297641395e-02,-1.518653426319360733e-02
2.025161497540016242e+01,-1.381394562470609523e-02,-1.788321323692798615e-02
5.875953452968123436e+00,8.052232837839350121e-02,8.101259171962738037e-02
1.804682317177761774e+01,-8.059237843202535483e-04,4.132076166570186615e-03
2.201125879016780118e+01,2.770715145969188803e-02,2.498359046876430511e-02
3.367413609891640291e+00,-2.321211692209090571e-01,-2.306746989488601685e-01
1.583679433299207062e+01,1.886245621754373963e-02,1.914778165519237518e-02
7.635597267735762195e+00,-1.546015568205855346e-02,-5.141646601259708405e-03
8.955330128811489487e+00,-7.176382653000165646e-02,-5.834676325321197510e-02
1.399859499077945202e+01,-4.377682822379726918e-02,-4.855399578809738159e-02
9.039122691419471778e+00,-6.983735709549146464e-02,-5.667029321193695068e-02
7.855552745331716435e-01,4.963430663633656148e-01,5.244168043136596680e-01
9.196233746309440349e+00,-6.457115657516203366e-02,-5.198454856872558594e-02
1.949748191192831825e+01,-3.081898243116051872e-02,-3.253307938575744629e-02
9.583774349121360059e-01,4.135621653655043306e-01,4.358963072299957275e-01
6.305390336334035339e+00,8.508689480607550815e-02,8.637985587120056152e-02
8.855826460714510517e+00,-7.320086725264447758e-02,-5.954565107822418213e-02
2.686599038701780184e+00,-1.867513518306621045e-01,-1.953890919685363770e-01
2.354571009292648398e+01,-8.547857283330290504e-03,-8.592844940721988678e-03
1.492555021538026105e+00,1.766609634959763198e-01,1.758834123611450195e-01
2.056060005001709712e+01,-3.098318341605417643e-03,-7.442520000040531158e-03
8.138352643383658602e+00,-5.463632871803303370e-02,-4.159352183341979980e-02
1.071497394357912825e+01,3.344588022701962260e-02,3.718169033527374268e-02
9.086256007886461816e+00,-6.847743829332249288e-02,-5.546962469816207886e-02
2.126759979702195480e+01,1.946387990384465180e-02,1.560205873101949692e-02
6.776723501003938388e+00,6.238125159309537704e-02,6.625325977802276611e-02
8.180248924687647971e+00,-5.707501144003143678e-02,-4.387843608856201172e-02
8.934381988159493915e+00,-7.214437977527410339e-02,-5.867175012826919556e-02
2.613280546344795141e+01,6.853204948259525482e-03,1.485934015363454819e-02
2.095337768724201766e+01,1.046652250162922321e-02,6.258471868932247162e-03
1.653332000967093052e+01,3.602533569099152649e-02,3.978014737367630005e-02
1.120725524890102598e+01,5.071553929811793704e-02,5.214485526084899902e-02
2.075960738621105861e+01,3.946629048032630933e-03,-3.832738730125129223e-04
2.009974095567319452e+01,-1.859309724624736912e-02,-2.237461693584918976e-02
1.484699468718527449e+01,-2.594374943699901542e-02,-2.976846136152744293e-02
8.489233999304584444e+00,-7.005678296389375448e-02,-5.616507679224014282e-02
9.274789273754423746e+00,-6.119133179379510068e-02,-4.894585907459259033e-02
1.398288388529045356e+01,-4.372181449924063962e-02,-4.849348217248916626e-02
6.918123450404909391e+00,5.140418495431568757e-02,5.629535019397735596e-02
1.902091171209541542e+01,-2.989491224879948714e-02,-2.932129986584186554e-02
1.822488236806958151e+00,4.707240044265503798e-02,3.741069138050079346e-02
1.307687680209163972e+01,-1.637475780824804161e-02,-2.003944106400012970e-02
1.381529876007448721e+01,-4.216903612631891368e-02,-4.684396088123321533e-02
1.208184012112184647e+01,3.726807509474856783e-02,3.587844222784042358e-02
1.265791398905172827e+01,6.959829906555488506e-03,4.167481325566768646e-03
1.434947634745038059e+00,2.008176875130877614e-01,2.021868079900741577e-01
1.047407032608117561e+01,1.936021462670721102e-02,2.443758957087993622e-02
9.850863141684305546e+00,-2.540817055877225839e-02,-1.642218418419361115e-02
1.531309081669218131e+01,-4.739437674939291946e-03,-6.946169771254062653e-03
2.463501340683026086e+01,-2.474318391067289319e-02,-2.060764469206333160e-02
1.563254996163511379e+01,1.024994557306576660e-02,9.499414823949337006e-03
1.371055805681450934e+01,-4.031034205801265619e-02,-4.489407688379287720e-02
1.433900227637438007e+01,-4.123625024695613817e-02,-4.594837874174118042e-02
2.566147229952805198e+00,-1.654834536558215108e-01,-1.756753921508789062e-01
2.222597723185075580e+01,2.607518320467425155e-02,2.370841614902019501e-02
1.694704578754784308e+01,3.469259882692448532e-02,3.987833857536315918e-02
2.241451049846871602e+00,-8.881270326015167083e-02,-1.014496982097625732e-01
2.027256311605215799e+01,-1.312093382638710413e-02,-1.722178049385547638e-02
1.491507614430426010e+01,-2.311556481420411202e-02,-2.674757130444049835e-02
9.657092840653344723e+00,-3.907466654327202554e-02,-2.888122387230396271e-02
2.606996104149196469e+01,5.162615601625754162e-03,1.330983545631170273e-02
1.256888439953074699e-01,8.900384104518980211e-01,8.484677076339721680e-01
1.478415026522928777e+01,-2.842536908851901398e-02,-3.241317719221115112e-02
4.859968631346332835e+00,-3.383257213224140358e-02,-2.939897961914539337e-02
7.452301037030799158e+00,1.829573141208214095e-03,1.083214487880468369e-02
1.329159524377459611e+01,-2.660173807748507716e-02,-3.063922561705112457e-02
5.488412850906203566e+00,5.263808894493455376e-02,5.383889377117156982e-02
1.814632683987459671e+01,-4.807905797063455507e-03,-2.011518809013068676e-04
9.892759422988296691e+00,-2.233861040740642984e-02,-1.362063083797693253e-02
9.583774348371360219e+00,-4.391397226895887851e-02,-3.328561037778854370e-02
1.758596407743371159e+01,1.754516806432826828e-02,2.337780408561229706e-02
1.470035770262130548e+01,-3.151489641046054807e-02,-3.569748997688293457e-02
4.535272451240399683e+00,-8.979014887837005743e-02,-8.368787169456481934e-02
2.239879939222971927e+01,2.353611676665636615e-02,2.145335637032985687e-02
1.326017303279660275e+01,-2.521812301586555047e-02,-2.920468337833881378e-02
9.552352137393366860e+00,-4.591559756438731710e-02,-3.510577976703643799e-02
8.326885910001619040e-01,4.733937805366872364e-01,5.002343654632568359e-01
2.168132557489886736e+01,2.666553231327764908e-02,2.340652607381343842e-02
2.424747280476834277e+01,-2.327889561697264048e-02,-2.091703750193119049e-02
1.306640273176564371e+01,-1.583441569975164651e-02,-1.947944797575473785e-02
1.739219377640275255e+01,2.424975701603019479e-02,3.011205606162548065e-02
2.554625752519207182e+01,-9.449691752235596376e-03,-1.525224419310688972e-03
8.882011636529504983e+00,-7.291437993465114953e-02,-5.931541323661804199e-02
1.943463748997233154e+01,-3.128347040247126537e-02,-3.271614015102386475e-02
2.449885049259228964e+01,-2.483971635422107388e-02,-2.134767360985279083e-02
2.185414773527783439e+01,2.775528134275570893e-02,2.477322332561016083e-02
1.445421704996035750e+01,-3.884699631860898811e-02,-4.344529658555984497e-02
5.834057171664132291e+00,7.859954645174918597e-02,7.910028100013732910e-02
1.793160839819163854e+01,3.893402511407990842e-03,9.158625267446041107e-03
2.252972527130469516e+01,2.096427324425460120e-02,1.909256540238857269e-02
1.189330685525388454e+01,4.447243900766388591e-02,4.359096288681030273e-02
9.955603844944283409e+00,-1.769217670800611944e-02,-9.378389455378055573e-03
2.083816291365604201e+01,6.650565418538764186e-03,2.359031466767191887e-03
1.981170402170825184e+01,-2.603356155713287129e-02,-2.899220772087574005e-02
2.571384265115804091e+00,-1.664910728897598391e-01,-1.766208410263061523e-01
8.049323045612675642e+00,-4.896439379768136035e-02,-3.628991544246673584e-02
2.359284340939347402e+01,-9.899376057060630188e-03,-9.823345579206943512e-03
1.018079635695323759e+01,-1.000021702915143218e-03,5.869432352483272552e-03
1.102919605335906361e+01,4.649567565731114321e-02,4.869069159030914307e-02
5.797397925523139151e+00,7.669700668625720197e-02,7.722032070159912109e-02
2.510634657150016480e+01,-1.956720673843233629e-02,-1.322274003177881241e-02
6.017353402369094439e+00,8.503614148463692346e-02,8.561068773269653320e-02
1.861766000454449710e+01,-2.138227206316481097e-02,-1.879646070301532745e-02
2.209505135277578347e+01,2.728088167868305755e-02,2.469652704894542694e-02
1.769070478069368946e+01,1.356641183482407143e-02,1.929612271487712860e-02
1.061023324031914861e+01,2.769553955252875357e-02,3.199821710586547852e-02
1.186188464427589118e+01,4.547795034520454860e-02,4.468482732772827148e-02
8.573026561912568511e+00,-7.196768652125251631e-02,-5.803175270557403564e-02
6.698167973558954102e+00,6.778778453534978210e-02,7.113058865070343018e-02
1.962840779100329058e+01,-2.930645314888003991e-02,-3.157557547092437744e-02
2.607519807665496359e+01,5.305065648713067072e-03,1.344189699739217758e-02
8.290226663110626504e+00,-6.273233478955572706e-02,-4.919570684432983398e-02
1.240129926606478072e+01,2.147059126817013261e-02,1.928008906543254852e-02
2.225739944282874916e+01,2.569122269339447692e-02,2.337644062936306000e-02
1.506695016403122978e+01,-1.638318343507052383e-02,-1.952903158962726593e-02
2.183843663053883777e+00,-7.242496220058974865e-02,-8.512833714485168457e-02
2.192222919239682000e+01,2.785580662028767918e-02,2.498516999185085297e-02
1.721937161602378552e+01,2.925242773297313803e-02,3.496995568275451660e-02
2.587095370604800770e+00,-1.694689473037605809e-01,-1.794089227914810181e-01
1.702560131499282647e+01,3.346487192891488965e-02,3.884021937847137451e-02
2.167608853973586847e+01,2.661398762867628678e-02,2.334670536220073700e-02
1.847626005514353054e+01,-1.699110400077271169e-02,-1.373936329036951065e-02
3.430258031847627009e+00,-2.302572197439417268e-01,-2.280347496271133423e-01
8.740611687128534868e+00,-7.366404772037773996e-02,-5.981922149658203125e-02
1.550162408256013968e+01,4.243993295091201198e-03,2.868010429665446281e-03
9.149100429842450311e+00,-6.636751013156488854e-02,-5.359219014644622803e-02
2.219979205603576133e+01,2.636766390781782737e-02,2.395742945373058319e-02
1.626623121635798341e+01,3.213220254903290801e-02,3.464700281620025635e-02
4.896627877487325087e+00,-2.777952901507338423e-02,-2.356304414570331573e-02
2.541533164611709950e+01,-1.283636129937495290e-02,-5.290181376039981842e-03
1.862289703970749954e+01,-2.153261157960921837e-02,-1.897204108536243439e-02
2.545199089225809175e+01,-1.191297584212418215e-02,-4.251093603670597076e-03
