# Time, Target, Prediction
1.867526739133748848e+01,-1.897836197320640263e-03,-1.001937314867973328e-03
2.226787351315474695e+01,3.750172092540691310e-02,3.764261305332183838e-02
1.004463344271526459e+01,-6.658069493143758955e-02,-7.039222866296768188e-02
2.152945155517189946e+01,1.326799316501996173e-02,1.321093551814556122e-02
7.703678724854746918e+00,7.318339624607345106e-02,6.265368312597274780e-02
4.865205666509331728e+00,-1.006841802558869764e-01,-1.002600416541099548e-01
1.003415937238926681e+01,-6.732882914597028423e-02,-7.115083187818527222e-02
2.092195547626402430e+01,-1.671862008692726748e-02,-1.602085493505001068e-02
5.917849734272114581e+00,8.456668312820739275e-02,8.100011199712753296e-02
9.023411585930476875e+00,-7.885342842620009229e-02,-8.495863527059555054e-02
1.248509182867276301e+01,6.509831248209506371e-02,6.511021405458450317e-02
2.199554768467880095e+01,3.138988177457849305e-02,3.132519125938415527e-02
4.608590944272384915e-01,9.243854154523470923e-01,9.084629416465759277e-01
9.311448519895415998e+00,-8.935540335266727030e-02,-9.452894330024719238e-02
7.478486212845793624e+00,1.007722675561575215e-01,9.009826928377151489e-02
1.660140146753991575e+00,7.735470680745450966e-01,7.809351682662963867e-01
1.456943182354633315e+01,-5.995931984662999231e-02,-5.706485360860824585e-02
1.390956539300846728e+01,-3.581151889214528178e-02,-3.225014358758926392e-02
5.058975967540292551e+00,-6.806846082838115264e-02,-6.774169951677322388e-02
1.088779610395809172e+01,1.136334641799610287e-02,8.051862940192222595e-03
1.832962307882955999e-01,7.350053138134993169e-01,7.318073511123657227e-01
3.514050594455609744e+00,-7.982433936848888634e-02,-8.499266207218170166e-02
1.252175107481375527e+01,6.343328518907966063e-02,6.357557326555252075e-02
8.562552491586570724e+00,-3.967763695252671946e-02,-4.756771773099899292e-02
1.976457070524126536e+01,-4.398728609238023585e-02,-4.150258004665374756e-02
8.248330381806635359e+00,-1.057436184992763435e-03,-1.016190089285373688e-02
1.164716620259293656e+01,6.708103934958464798e-02,6.460394710302352905e-02
2.948450796851726619e+00,1.133123567134972087e-01,1.080668941140174866e-01
