# Time, Target, Prediction
2.140899974642292491e+01,2.260413596760728339e-02,1.698223128914833069e-02
2.349857677645949394e+01,-7.163532542281805630e-03,-8.625302463769912720e-03
5.640286870633172356e+00,6.623161364407796625e-02,6.900016218423843384e-02
1.658569036130091945e+01,3.635205080678758499e-02,3.869608417153358459e-02
6.268731090193043087e+00,8.573237897864166568e-02,8.822111040353775024e-02
1.642334227124795021e+01,3.486830570449697686e-02,3.631385788321495056e-02
2.614851656893694809e+01,7.268870473520691600e-03,1.216541603207588196e-02
1.340157298219757287e+01,-3.109064344227936011e-02,-3.633211180567741394e-02
5.388909182809223708e+00,4.197086810981545679e-02,4.575575515627861023e-02
1.057881103009115531e+00,3.673822488268658759e-01,3.863357901573181152e-01
1.541259448478915850e+01,2.962050649743662743e-05,-4.827085882425308228e-03
3.487865418640615278e+00,-2.277480361841955903e-01,-2.226209193468093872e-01
2.291726587336661325e+01,1.083358829312181144e-02,8.768934756517410278e-03
9.400478117666398958e+00,-5.486272419082253299e-02,-4.582294449210166931e-02
1.551209815288613925e+01,4.734223233204804503e-03,4.264526360202580690e-04
6.279205160519040874e+00,8.556657348397403440e-02,8.808016031980514526e-02
6.069723753999083371e+00,8.594182095612948324e-02,8.813608437776565552e-02
2.393325069498840563e+01,-1.832652859829383626e-02,-1.916300132870674133e-02
2.157658487163888950e+01,2.543217234898748763e-02,2.028456702828407288e-02
7.583226916105771487e+00,-1.061016915857269059e-02,-1.129340380430221558e-03
8.824404249736515382e+00,-7.345679039489329265e-02,-6.177387759089469910e-02
1.128581077634600938e+01,5.179855702060622707e-02,5.172379687428474426e-02
9.814203895543313294e+00,-2.806848532360723888e-02,-2.163846418261528015e-02
2.178606627890884884e+00,-7.089598838825020288e-02,-8.008324354887008667e-02
6.912886415991910116e-01,5.432860491582215401e-01,5.699155926704406738e-01
3.482628383477616829e+00,-2.280070139195627399e-01,-2.229366898536682129e-01
1.055786288868915967e+01,2.459635741534934444e-02,2.680030837655067444e-02
2.611709435795895473e+01,6.434601168618195657e-03,1.134582236409187317e-02
1.897377839562842539e+01,-2.924656419338250712e-02,-3.105285391211509705e-02
6.095908929814077837e+00,8.624168474260515693e-02,8.845466375350952148e-02
1.122296635439002266e+01,5.097064566748855247e-02,5.102802440524101257e-02
4.268183657927454355e+00,-1.356039566241461491e-01,-1.266507804393768311e-01
2.233071793511073366e+01,2.465896667933717423e-02,2.157158032059669495e-02
2.106859246082799331e+01,1.404182949741928331e-02,7.550630718469619751e-03
3.226013660490669288e+00,-2.328135386558707054e-01,-2.309230118989944458e-01
1.670614217004989399e+01,3.655224341433590401e-02,3.948893770575523376e-02
2.516395395829314907e+01,-1.847841697830212432e-02,-1.581923291087150574e-02
7.530856564475782555e+00,-5.678907571310895692e-03,3.498870879411697388e-03
